title,stars_in_movie
G.I. Joe: Retaliation,"Dwayne Johnson, Channing Tatum"
Captain America: The First Avenger,"Chris Evans, Samuel L. Jackson"
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
Happy Feet Two,"Brad Pitt, Matt Damon, Elijah Wood"
The Incredible Hulk,"Robert Downey Jr., Edward Norton"
The Revenant,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson"
Turbo,"Ryan Reynolds, Samuel L. Jackson"
Rango,Johnny Depp
Penguins of Madagascar,Benedict Cumberbatch
The Bourne Ultimatum,Matt Damon
The Hunger Games: Catching Fire,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson"
War of the Worlds,Channing Tatum
Bad Boys II,Will Smith
Noah,Emma Watson
Harry Potter and the Prisoner of Azkaban,"Emma Watson, Rupert Grint, Daniel Radcliffe, Gary Oldman"
Australia,"Hugh Jackman, Nicole Kidman"
After Earth,Will Smith
Night at the Museum: Secret of the Tomb,"Hugh Jackman, Ben Kingsley"
Megamind,"Brad Pitt, Amy Poehler"
Harry Potter and the Philosopher's Stone,"Emma Watson, Rupert Grint, Daniel Radcliffe"
R.I.P.D.,Ryan Reynolds
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
The Hunger Games: Mockingjay - Part 1,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson"
The Da Vinci Code,"Tom Hanks, Ian McKellen"
X2,"Hugh Jackman, Ian McKellen"
Fast Five,Dwayne Johnson
Sherlock Holmes: A Game of Shadows,"Robert Downey Jr., Rachel McAdams"
Clash of the Titans,"Ralph Fiennes, Liam Neeson, Nicholas Hoult, Sam Worthington"
The Bourne Legacy,Edward Norton
Batman & Robin,"George Clooney, Uma Thurman"
The Day After Tomorrow,Jake Gyllenhaal
The Perfect Storm,"George Clooney, Mark Wahlberg"
Fantastic 4: Rise of the Silver Surfer,Chris Evans
Jason Bourne,Matt Damon
Charlie's Angels: Full Throttle,Cameron Diaz
Elysium,Matt Damon
RoboCop,"Samuel L. Jackson, Michael Keaton, Gary Oldman"
Knight and Day,Cameron Diaz
Star Wars: Episode III - Revenge of the Sith,"Natalie Portman, Samuel L. Jackson, Ewan McGregor"
Star Wars: Episode II - Attack of the Clones,"Natalie Portman, Samuel L. Jackson, Ewan McGregor"
The Wolverine,"Hugh Jackman, Ian McKellen"
Star Wars: Episode I - The Phantom Menace,"Natalie Portman, Liam Neeson, Samuel L. Jackson, Ewan McGregor"
The Croods,"Ryan Reynolds, Emma Stone"
Windtalkers,Mark Ruffalo
The Huntsman: Winter's War,"Chris Hemsworth, Liam Neeson, Emily Blunt"
Gravity,George Clooney
San Andreas,Dwayne Johnson
The Patriot,Heath Ledger
Ocean's Twelve,"Brad Pitt, George Clooney, Matt Damon"
Mr. & Mrs. Smith,Brad Pitt
The Aviator,"Leonardo DiCaprio, Willem Dafoe"
Gulliver's Travels,Emily Blunt
The Green Hornet,"Christoph Waltz, Cameron Diaz"
Real Steel,Hugh Jackman
Speed 2: Cruise Control,Willem Dafoe
Ender's Game,"Harrison Ford, Ben Kingsley"
The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Ali,Will Smith
The Cat in the Hat,Mike Myers
"I, Robot",Will Smith
Kingdom of Heaven,"Liam Neeson, Edward Norton"
The Martian,Matt Damon
The Island,"Scarlett Johansson, Ewan McGregor"
Gladiator,Joaquin Phoenix
Minority Report,Cameron Diaz
Harry Potter and the Chamber of Secrets,"Emma Watson, Rupert Grint, Daniel Radcliffe"
Planet of the Apes,Mark Wahlberg
Public Enemies,"Channing Tatum, Christian Bale, Johnny Depp, Carey Mulligan"
American Gangster,"John Cena, Denzel Washington"
The Taking of Pelham 1 2 3,Denzel Washington
Little Fockers,Robert De Niro
The Other Guys,"Dwayne Johnson, Mark Wahlberg, Samuel L. Jackson, Michael Keaton"
Django Unchained,"Leonardo DiCaprio, Samuel L. Jackson, Christoph Waltz"
The Expendables 2,"Jason Statham, Liam Hemsworth"
Where the Wild Things Are,Mark Ruffalo
Epic,"Christoph Waltz, Josh Hutcherson"
The Tourist,Johnny Depp
Blood Diamond,Leonardo DiCaprio
The Wolf of Wall Street,"Leonardo DiCaprio, Margot Robbie"
Batman Forever,Nicole Kidman
Cloud Atlas,Tom Hanks
Hercules,Dwayne Johnson
Treasure Planet,Joseph Gordon-Levitt
The Expendables 3,"Jason Statham, Harrison Ford"
In the Heart of the Sea,"Chris Hemsworth, Tom Holland"
Green Zone,Matt Damon
The Mummy Returns,Dwayne Johnson
Gangs of New York,"Leonardo DiCaprio, Liam Neeson, Cameron Diaz"
The Flowers of War,Christian Bale
The Stepford Wives,"Nicole Kidman, Matthew Broderick"
Black Hawk Down,"Tom Hardy, Ewan McGregor"
The Fifth Element,Gary Oldman
The Lovely Bones,Mark Wahlberg
Finding Nemo,Willem Dafoe
The Lord of the Rings: The Return of the King,"Elijah Wood, Ian McKellen, Viggo Mortensen"
The Lord of the Rings: The Two Towers,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Transcendence,Johnny Depp
The Incredibles,Samuel L. Jackson
Percy Jackson & the Olympians: The Lightning Thief,Uma Thurman
Men in Black,Will Smith
Toy Story 2,Tom Hanks
Unstoppable,Denzel Washington
What Lies Beneath,Harrison Ford
Charlie's Angels,Cameron Diaz
The Departed,"Mark Wahlberg, Matt Damon, John Cena, Leonardo DiCaprio"
Tropic Thunder,"Robert Downey Jr., Tobey Maguire"
Die Hard: With a Vengeance,Samuel L. Jackson
Sherlock Holmes,"Robert Downey Jr., Rachel McAdams"
Valkyrie,Tom Holland
You Don't Mess with the Zohan,Adam Sandler
Pixels,Adam Sandler
A.I. Artificial Intelligence,"Meryl Streep, Ben Kingsley"
The Interpreter,Nicole Kidman
Now You See Me 2,"Daniel Radcliffe, Mark Ruffalo, Michael Caine"
Spy Game,Brad Pitt
The Devil's Own,"Brad Pitt, Harrison Ford"
K-19: The Widowmaker,"Harrison Ford, Liam Neeson"
