title,stars_in_movie
Horrible Bosses 2,Christoph Waltz
Predators,Adrien Brody
Secret Window,Johnny Depp
The Odd Life of Timothy Green,Jennifer Garner
The Rainmaker,Matt Damon
Gothika,Robert Downey Jr.
Autumn in New York,Winona Ryder
Paul,Sigourney Weaver
8MM,Joaquin Phoenix
Sex Tape,Cameron Diaz
A Million Ways to Die in the West,"Ryan Reynolds, Liam Neeson, Ewan McGregor"
The Shadow,Ian McKellen
Extremely Loud & Incredibly Close,Tom Hanks
Morning Glory,"Harrison Ford, Rachel McAdams, Jeff Goldblum"
The Island of Dr. Moreau,Marlon Brando
The Other Boleyn Girl,"Scarlett Johansson, Natalie Portman, Andrew Garfield, Benedict Cumberbatch"
Mean Streets,Robert De Niro
Renaissance Man,Mark Wahlberg
Quest for Camelot,Gary Oldman
City By The Sea,Robert De Niro
City Hall,Al Pacino
Marie Antoinette,"Kirsten Dunst, Tom Hardy, Jason Schwartzman"
Kiss of Death,Samuel L. Jackson
Get Carter,Michael Caine
The Impossible,"Tom Holland, Ewan McGregor"
Fantastic Mr. Fox,"George Clooney, Meryl Streep, Willem Dafoe, Adrien Brody, Jason Schwartzman"
Cirque du Freak: The Vampire's Assistant,"Willem Dafoe, Josh Hutcherson"
Soul Men,Samuel L. Jackson
Sunshine,Chris Evans
Stormbreaker,Ewan McGregor
Disturbia,Carrie-Anne Moss
Snowpiercer,Chris Evans
The Last Shot,Matthew Broderick
The Time Traveler's Wife,Rachel McAdams
Frankenweenie,Winona Ryder
Serenity,Morena Baccarin
Grudge Match,"Kevin Hart, Robert De Niro"
Water for Elephants,"Robert Pattinson, Christoph Waltz"
Dragon Nest: Warriors' Dawn,Carrie-Anne Moss
The Hurricane,Denzel Washington
Heartbreakers,"Carrie Fisher, Sigourney Weaver"
The Ninth Gate,Johnny Depp
Rock Star,Mark Wahlberg
Riddick,Dave Bautista
The Master,Joaquin Phoenix
What to Expect When You're Expecting,Cameron Diaz
Burn After Reading,"Brad Pitt, George Clooney"
Rush,Chris Hemsworth
Twilight,Robert Pattinson
John Q,Denzel Washington
Aloha,"Rachel McAdams, Emma Stone"
Gattaca,Uma Thurman
Austin Powers: The Spy Who Shagged Me,Mike Myers
Batman,Michael Keaton
Spy Kids,George Clooney
True Grit,"Matt Damon, Domhnall Gleeson"
The Devil Wears Prada,"Meryl Streep, Emily Blunt"
Cape Fear,Robert De Niro
Trainwreck,"John Cena, Daniel Radcliffe, Matthew Broderick"
The English Patient,"Willem Dafoe, Ralph Fiennes"
Species,Ben Kingsley
A Nightmare on Elm Street,Johnny Depp
The Man in the Iron Mask,Leonardo DiCaprio
TMNT,Chris Evans
Friends with Benefits,Emma Stone
Saving Mr. Banks,"Tom Hanks, Jason Schwartzman"
Malcolm X,Denzel Washington
Donnie Brasco,"Al Pacino, Johnny Depp"
The Ladykillers,Tom Hanks
Max Payne,Mark Wahlberg
The Pianist,Adrien Brody
Closer,Natalie Portman
J. Edgar,"Leonardo DiCaprio, Armie Hammer"
Jersey Girl,"Will Smith, Matt Damon"
Heist,"Robert De Niro, Dave Bautista"
Nanny McPhee and the Big Bang,"Ralph Fiennes, Ewan McGregor"
Concussion,Will Smith
Abduction,Sigourney Weaver
Valiant,Ewan McGregor
Wonder Boys,"Robert Downey Jr., Tobey Maguire"
Superhero Movie,Kevin Hart
Broken City,Mark Wahlberg
Premium Rush,Joseph Gordon-Levitt
The Four Feathers,Heath Ledger
Parker,Jason Statham
Wimbledon,Kirsten Dunst
Krull,Liam Neeson
Lions for Lambs,"Meryl Streep, Andrew Garfield"
Flight of the Intruder,Willem Dafoe
Walk Hard: The Dewey Cox Story,Jason Schwartzman
The Young Victoria,Emily Blunt
The Tree of Life,Brad Pitt
Sabotage,Sam Worthington
The Order,Heath Ledger
The Walk,"Joseph Gordon-Levitt, Ben Kingsley"
A Good Year,Tom Holland
Radio Flyer,"Tom Hanks, Elijah Wood"
Ride with the Devil,"Mark Ruffalo, Tobey Maguire"
The Age of Innocence,Winona Ryder
The Fountain,Hugh Jackman
Ponyo,"Matt Damon, Liam Neeson"
The Astronaut's Wife,Johnny Depp
Playing for Keeps,Uma Thurman
Snakes on a Plane,Samuel L. Jackson
Safe,Jason Statham
Return of the Jedi,"Carrie Fisher, Harrison Ford, Mark Hamill"
The Reader,Ralph Fiennes
This Is the End,"Kevin Hart, Channing Tatum, Emma Watson, Michael Cera"
Men of Honor,Robert De Niro
The Big Wedding,Robert De Niro
Source Code,Jake Gyllenhaal
A History of Violence,Viggo Mortensen
Transporter 2,Jason Statham
The Quick and the Dead,Leonardo DiCaprio
The Good German,"George Clooney, Tobey Maguire"
Apocalypse Now,"Harrison Ford, Marlon Brando"
Criminal,"Ryan Reynolds, Gary Oldman"
Out of Africa,Meryl Streep
Flight,Denzel Washington
The Grand Budapest Hotel,"Willem Dafoe, Ralph Fiennes, Edward Norton, Jeff Goldblum, Adrien Brody, Jason Schwartzman"
Frequency,Michael Cera
Vacation,Chris Hemsworth
Big Daddy,Adam Sandler
Toy Story,Tom Hanks
The Vow,"Channing Tatum, Rachel McAdams"
Extraordinary Measures,Harrison Ford
Remember the Titans,"Denzel Washington, Ryan Gosling"
Se7en,Brad Pitt
The SpongeBob SquarePants Movie,Scarlett Johansson
Analyze This,Robert De Niro
The Notebook,"Ryan Gosling, Rachel McAdams"
Legends of the Fall,Brad Pitt
Up in the Air,George Clooney
Warm Bodies,Nicholas Hoult
Looper,"Joseph Gordon-Levitt, Emily Blunt"
Hope Springs,Meryl Streep
Four Brothers,Mark Wahlberg
Baby Mama,"Sigourney Weaver, Amy Poehler"
Bride Wars,Chris Pratt
13 Going on 30,"Mark Ruffalo, Jennifer Garner"
Midnight in Paris,"Rachel McAdams, Adrien Brody"
The Nut Job,Liam Neeson
Blow,Johnny Depp
The Curse of the Were-Rabbit,Ralph Fiennes
Atonement,Benedict Cumberbatch
Corpse Bride,Johnny Depp
Sicario,Emily Blunt
Southpaw,"Jake Gyllenhaal, Rachel McAdams"
The Age of Adaline,Harrison Ford
Secondhand Lions,Michael Caine
The Cabin in the Woods,"Chris Hemsworth, Sigourney Weaver"
Midnight Run,Robert De Niro
Hanna,Tom Holland
Larry Crowne,Tom Hanks
Gridiron Gang,Dwayne Johnson
9,Elijah Wood
Side Effects,Channing Tatum
One True Thing,Meryl Streep
Virtuosity,Denzel Washington
My Super Ex-Girlfriend,Uma Thurman
Deliver Us from Evil,John Cena
The Five-Year Engagement,"Kevin Hart, Chris Pratt, Emily Blunt"
The Next Three Days,Liam Neeson
Eight Legged Freaks,Scarlett Johansson
Love & Other Drugs,Jake Gyllenhaal
88 Minutes,Al Pacino
Splice,Adrien Brody
Pride and Glory,Edward Norton
The New World,Christian Bale
In Dreams,Robert Downey Jr.
Godsend,Robert De Niro
Hoodwinked Too! Hood VS. Evil,Amy Poehler
The Imaginarium of Doctor Parnassus,"Heath Ledger, Andrew Garfield, Johnny Depp"
Glory,"Denzel Washington, Matthew Broderick"
Once Upon a Time in America,Robert De Niro
Dead Man Down,John Cena
The Merchant of Venice,Al Pacino
The Good Thief,Ralph Fiennes
Supercross,Channing Tatum
Miss Potter,Ewan McGregor
The Assassination of Jesse James by the Coward Robert Ford,Brad Pitt
Wild Card,Jason Statham
Grace of Monaco,Nicole Kidman
Sausage Party,"Michael Cera, Edward Norton"
Walk the Line,Joaquin Phoenix
Keeping the Faith,Edward Norton
Confessions of a Dangerous Mind,"Brad Pitt, George Clooney, Matt Damon, Michael Cera"
Cry Freedom,Denzel Washington
The Jacket,Adrien Brody
Indiana Jones and the Temple of Doom,Harrison Ford
Florence Foster Jenkins,Meryl Streep
Once Upon a Time in Mexico,"Willem Dafoe, Johnny Depp"
The Big Short,"Brad Pitt, Margot Robbie, Christian Bale, Ryan Gosling"
Last Vegas,Robert De Niro
Zoolander,"Natalie Portman, Winona Ryder"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Jennifer Garner
Pride & Prejudice,"Tom Holland, Carey Mulligan"
Blade Runner,Harrison Ford
Rob Roy,Liam Neeson
We Own the Night,"Mark Wahlberg, Joaquin Phoenix"
Lost Souls,Winona Ryder
"Mystery, Alaska",Mike Myers
Ghosts of Mars,Jason Statham
How to Lose Friends & Alienate People,Kirsten Dunst
Alatriste,Viggo Mortensen
My Sister's Keeper,Cameron Diaz
Rendition,"Jake Gyllenhaal, Meryl Streep"
The Blues Brothers,Carrie Fisher
About a Boy,Nicholas Hoult
Lake Placid,Mariska Hargitay
Lucky Number Slevin,Ben Kingsley
The Right Stuff,Jeff Goldblum
The Duchess,Ralph Fiennes
Suspect Zero,"Ben Kingsley, Carrie-Anne Moss"
Money Monster,George Clooney
The 51st State,Samuel L. Jackson
Flawless,Robert De Niro
What Just Happened,Robert De Niro
The Statement,Michael Caine
The 40 Year Old Virgin,Kevin Hart
A Walk Among the Tombstones,Liam Neeson
A Bridge Too Far,Michael Caine
Red Eye,Rachel McAdams
"O Brother, Where Art Thou?",George Clooney
Pain & Gain,"Dwayne Johnson, Mark Wahlberg"
In Good Company,Scarlett Johansson
Silverado,Jeff Goldblum
Brothers,"Jake Gyllenhaal, Natalie Portman, Tobey Maguire, Carey Mulligan"
New Year's Eve,Robert De Niro
Blood and Wine,Michael Caine
Snow White: A Tale of Terror,Sigourney Weaver
Accidental Love,Jake Gyllenhaal
Flipper,Elijah Wood
Self/less,"Ryan Reynolds, Ben Kingsley"
The Constant Gardener,Ralph Fiennes
Taken,Liam Neeson
Schindler's List,"Ralph Fiennes, Liam Neeson, Ben Kingsley"
The Help,Emma Stone
The Fifth Estate,Benedict Cumberbatch
The Untouchables,Robert De Niro
Ride Along,Kevin Hart
Chocolat,"Johnny Depp, Carrie-Anne Moss"
No Strings Attached,Natalie Portman
Bridge to Terabithia,Josh Hutcherson
Finding Neverland,Johnny Depp
The Grey,Liam Neeson
Hide and Seek,Robert De Niro
GoodFellas,"Robert De Niro, Samuel L. Jackson"
Scarface,Al Pacino
Contraband,Mark Wahlberg
The House Bunny,Emma Stone
The Giver,Meryl Streep
The Hours,"Nicole Kidman, Meryl Streep"
She's the Man,Channing Tatum
Mr. Bean's Holiday,Willem Dafoe
The Gambler,Mark Wahlberg
August: Osage County,"Meryl Streep, Benedict Cumberbatch, Ewan McGregor"
Eddie the Eagle,Hugh Jackman
He Got Game,Denzel Washington
Don Juan DeMarco,"Johnny Depp, Marlon Brando"
Dear John,Channing Tatum
The Losers,Chris Evans
War,Jason Statham
Punch-Drunk Love,Adam Sandler
EuroTrip,Matt Damon
The Box,Cameron Diaz
Legend,Tom Hardy
Draft Day,Jennifer Garner
Lords of Dogtown,Heath Ledger
Warrior,Tom Hardy
Michael Collins,Liam Neeson
Stop-Loss,"Channing Tatum, Joseph Gordon-Levitt"
The Road,Viggo Mortensen
Blindness,Mark Ruffalo
BloodRayne,Ben Kingsley
Carnage,Christoph Waltz
The Counselor,"Brad Pitt, Cameron Diaz"
Dangerous Liaisons,Uma Thurman
On the Road,"Kirsten Dunst, Viggo Mortensen"
Jane Got a Gun,"Natalie Portman, Ewan McGregor"
Think Like a Man Too,Kevin Hart
The Men Who Stare at Goats,"George Clooney, Ewan McGregor"
"Girl, Interrupted",Winona Ryder
Ready to Rumble,John Cena
The Thief and the Cobbler,Matthew Broderick
The Bridge of San Luis Rey,Robert De Niro
Faster,Dwayne Johnson
Zombieland,Emma Stone
The Waterboy,Adam Sandler
The Empire Strikes Back,"Carrie Fisher, Harrison Ford, Mark Hamill"
Bad Boys,Will Smith
The Ides of March,"George Clooney, Ryan Gosling"
Someone Like You...,Hugh Jackman
Her,"Scarlett Johansson, Joaquin Phoenix, Chris Pratt"
Anywhere But Here,Natalie Portman
The Crew,Carrie-Anne Moss
Haywire,"Channing Tatum, Ewan McGregor"
Jaws: The Revenge,Michael Caine
Marvin's Room,"Leonardo DiCaprio, Meryl Streep, Robert De Niro"
The End of the Affair,Ralph Fiennes
Vanity Fair,Robert Pattinson
1408,Samuel L. Jackson
There's Something About Mary,Cameron Diaz
The Game Plan,Dwayne Johnson
The Bridges of Madison County,Meryl Streep
The Animal,Adam Sandler
Gandhi,Ben Kingsley
The Informant!,Matt Damon
Delivery Man,Chris Pratt
Our Kind of Traitor,Ewan McGregor
Summer of Sam,Adrien Brody
Jay and Silent Bob Strike Back,"Matt Damon, Carrie Fisher, Mark Hamill"
"Hail, Caesar!","George Clooney, Channing Tatum, Scarlett Johansson, Ralph Fiennes"
Homefront,"Jason Statham, Winona Ryder"
I Heart Huckabees,"Mark Wahlberg, Jason Schwartzman"
The Libertine,"Tom Holland, Johnny Depp"
Before I Go to Sleep,Nicole Kidman
Stone,"Robert De Niro, Edward Norton"
Out of the Furnace,"Christian Bale, Willem Dafoe"
Michael Clayton,George Clooney
"South Park: Bigger, Longer & Uncut","George Clooney, Winona Ryder"
Silver Linings Playbook,"Jennifer Lawrence, Robert De Niro"
The Transporter,Jason Statham
Moonlight Mile,Jake Gyllenhaal
Tinker Tailor Soldier Spy,"Benedict Cumberbatch, Tom Hardy, Gary Oldman"
The Beaver,Jennifer Lawrence
eXistenZ,Willem Dafoe
Raiders of the Lost Ark,Harrison Ford
Wayne's World,Mike Myers
The Descendants,George Clooney
Holes,Sigourney Weaver
The Last Song,Liam Hemsworth
12 Years a Slave,"Brad Pitt, Benedict Cumberbatch, Lupita Nyong'o"
Edward Scissorhands,"Winona Ryder, Johnny Depp"
Spotlight,"Mark Ruffalo, Rachel McAdams, Michael Keaton"
Lakeview Terrace,Samuel L. Jackson
Man of the Year,"Jeff Goldblum, Amy Poehler"
The American,George Clooney
Babel,Brad Pitt
Doubt,Meryl Streep
Team America: World Police,"George Clooney, Matt Damon"
Copycat,Sigourney Weaver
The Debt,Sam Worthington
The Bank Job,Jason Statham
Eternal Sunshine of the Spotless Mind,"Mark Ruffalo, Kirsten Dunst, Elijah Wood"
You Again,Sigourney Weaver
Street Kings,Chris Evans
Daybreakers,Willem Dafoe
To Die For,"Nicole Kidman, Joaquin Phoenix"
Appaloosa,Viggo Mortensen
Under the Rainbow,Carrie Fisher
Ladyhawke,Matthew Broderick
Reign Over Me,Adam Sandler
Silent Hill: Revelation 3D,Carrie-Anne Moss
From Dusk Till Dawn,George Clooney
Home for the Holidays,Robert Downey Jr.
Paparazzi,Tom Holland
Secret in Their Eyes,Nicole Kidman
What's Your Number?,"Chris Evans, Chris Pratt"
Envy,Amy Poehler
Crank: High Voltage,Jason Statham
The Quiet American,Michael Caine
The Weather Man,"Nicholas Hoult, Michael Caine"
12 Rounds,John Cena
Be Kind Rewind,Sigourney Weaver
Deconstructing Harry,"Tobey Maguire, Jennifer Garner"
Burnt,Uma Thurman
We're No Angels,Robert De Niro
Everyone Says I Love You,"Natalie Portman, Edward Norton"
Everybody's Fine,Robert De Niro
The Man,Samuel L. Jackson
Inherent Vice,Joaquin Phoenix
Doogal,Ian McKellen
A Dangerous Method,Viggo Mortensen
A Scanner Darkly,"Robert Downey Jr., Winona Ryder"
Birth,Nicole Kidman
I'm Not There.,"Christian Bale, Heath Ledger"
The Cold Light of Day,Sigourney Weaver
The Brothers Bloom,"Mark Ruffalo, Adrien Brody"
Equilibrium,Christian Bale
The Yards,"Mark Wahlberg, Joaquin Phoenix"
By the Sea,Brad Pitt
All Good Things,"Kirsten Dunst, Ryan Gosling"
People I Know,Al Pacino
Regression,Emma Watson
Zambezia,"Samuel L. Jackson, Jeff Goldblum"
Hands of Stone,Robert De Niro
The Painted Veil,Edward Norton
Bad Teacher,Cameron Diaz
Sea of Love,"Al Pacino, Samuel L. Jackson"
The Switch,Jeff Goldblum
The Bounty,Liam Neeson
Take Me Home Tonight,Chris Pratt
The Amityville Horror,Ryan Reynolds
Adaptation.,Meryl Streep
Fear and Loathing in Las Vegas,"Tobey Maguire, Johnny Depp, Cameron Diaz"
The Invention of Lying,"Edward Norton, Jennifer Garner"
The Mask,Cameron Diaz
Big,Tom Hanks
Deuce Bigalow: Male Gigolo,Amy Poehler
The Family Stone,Rachel McAdams
Austin Powers: International Man of Mystery,"Carrie Fisher, Mike Myers"
Mean Girls,"Rachel McAdams, Amy Poehler"
Gosford Park,Tom Holland
Birdman,"Emma Stone, Edward Norton, Michael Keaton"
Raging Bull,Robert De Niro
Youth in Revolt,Michael Cera
The Tailor of Panama,Daniel Radcliffe
The Ice Storm,"Elijah Wood, Tobey Maguire, Sigourney Weaver"
Ed Wood,Johnny Depp
Labor Day,Tobey Maguire
RockNRolla,Tom Hardy
Midnight Special,Kirsten Dunst
The Railway Man,Nicole Kidman
The Informers,Winona Ryder
Red Lights,"Robert De Niro, Sigourney Weaver"
Superbad,"Emma Stone, Michael Cera"
Step Up 2: The Streets,Channing Tatum
Hotel Rwanda,Joaquin Phoenix
The Others,Nicole Kidman
Aliens,Sigourney Weaver
Good Boy!,Matthew Broderick
Smokin' Aces,Ryan Reynolds
American Dreamz,Willem Dafoe
The Illusionist,Edward Norton
Escobar: Paradise Lost,Josh Hutcherson
Southland Tales,"Dwayne Johnson, Amy Poehler"
Fur: An Imaginary Portrait of Diane Arbus,"Nicole Kidman, Robert Downey Jr."
House of Sand and Fog,Ben Kingsley
When Harry Met Sally...,Carrie Fisher
The Unborn,Gary Oldman
Moonrise Kingdom,"Edward Norton, Jason Schwartzman"
The Women,Carrie Fisher
Vicky Cristina Barcelona,Scarlett Johansson
Jennifer's Body,Chris Pratt
Remember Me,Robert Pattinson
Philadelphia,"Denzel Washington, Tom Hanks"
The Immigrant,Joaquin Phoenix
The White Countess,Ralph Fiennes
Soul Plane,Kevin Hart
Good,Viggo Mortensen
Vamps,Sigourney Weaver
The Homesman,Meryl Streep
The Imitation Game,Benedict Cumberbatch
Beetlejuice,"Winona Ryder, Michael Keaton"
Little Women,"Christian Bale, Kirsten Dunst, Winona Ryder"
The Woman in Black,"Daniel Radcliffe, Tom Hardy"
The Deer Hunter,"Meryl Streep, Robert De Niro"
Wag the Dog,"Kirsten Dunst, Robert De Niro"
Snitch,Dwayne Johnson
The Faculty,Elijah Wood
Cop Land,Robert De Niro
Not Another Teen Movie,Chris Evans
End of Watch,Jake Gyllenhaal
Where the Heart Is,Natalie Portman
The Great Debaters,Denzel Washington
Drive,"Ryan Gosling, Carey Mulligan"
Match Point,Scarlett Johansson
Boogie Nights,Mark Wahlberg
Flicka,Armie Hammer
Tuck Everlasting,Ben Kingsley
The Marine,John Cena
The Place Beyond the Pines,Ryan Gosling
Eye of the Beholder,Ewan McGregor
The Hurt Locker,Ralph Fiennes
Killing Them Softly,Brad Pitt
A Most Wanted Man,"Rachel McAdams, Willem Dafoe"
New York Stories,Kirsten Dunst
The Man with the Iron Fists,Dave Bautista
Brazil,Robert De Niro
Black Snake Moan,Samuel L. Jackson
In Bruges,Ralph Fiennes
The Rocker,Emma Stone
Post Grad,Michael Keaton
Promised Land,Matt Damon
Kiss Kiss Bang Bang,Robert Downey Jr.
Never Let Me Go,"Andrew Garfield, Domhnall Gleeson, Carey Mulligan"
The Company,Michael Keaton
Transsiberian,Ben Kingsley
Buffalo Soldiers,Joaquin Phoenix
The Son of No One,"Channing Tatum, Al Pacino"
Khumba,Liam Neeson
Magic Mike XXL,Channing Tatum
Romeo + Juliet,Leonardo DiCaprio
Manderlay,Willem Dafoe
Born on the Fourth of July,Willem Dafoe
The Iron Lady,Meryl Streep
A Perfect Getaway,Chris Hemsworth
"New York, New York",Robert De Niro
Bobby,Elijah Wood
A Walk on the Moon,Viggo Mortensen
The Lucky Ones,Rachel McAdams
Margaret,"Matt Damon, Mark Ruffalo, Matthew Broderick"
Brokeback Mountain,"Jake Gyllenhaal, Heath Ledger"
Quills,"Joaquin Phoenix, Michael Caine"
The Caveman's Valentine,Samuel L. Jackson
Under the Skin,Scarlett Johansson
Black Swan,"Natalie Portman, Winona Ryder"
The Godfather: Part II,"Robert De Niro, Al Pacino"
Miracles from Heaven,Jennifer Garner
"Dude, Where’s My Car?",Jennifer Garner
About Last Night,Kevin Hart
10 Things I Hate About You,"Heath Ledger, Joseph Gordon-Levitt"
National Lampoon's Loaded Weapon 1,Samuel L. Jackson
The Big Hit,Mark Wahlberg
Ex Machina,Domhnall Gleeson
Being John Malkovich,"Brad Pitt, Winona Ryder, Cameron Diaz"
Crazy/Beautiful,Kirsten Dunst
Dirty Work,Adam Sandler
Dick,"Ryan Reynolds, Kirsten Dunst"
54,"Mark Ruffalo, Mike Myers"
Bubble Boy,Jake Gyllenhaal
Birthday Girl,Nicole Kidman
"Paris, je t'aime","Natalie Portman, Willem Dafoe, Elijah Wood"
Resurrecting the Champ,Samuel L. Jackson
Chloe,Liam Neeson
The Perks of Being a Wallflower,Emma Watson
Infamous,Sigourney Weaver
Operation Chromite,Liam Neeson
I Love You Phillip Morris,Ewan McGregor
Antwone Fisher,Denzel Washington
True Romance,"Brad Pitt, John Cena, Samuel L. Jackson, Gary Oldman"
Glengarry Glen Ross,Al Pacino
Sorority Row,Carrie Fisher
Lars and the Real Girl,Ryan Gosling
Oscar and Lucinda,Ralph Fiennes
Machete,Robert De Niro
Think Like a Man,Kevin Hart
WarGames,Matthew Broderick
Witness,"Harrison Ford, Viggo Mortensen"
Step Up,Channing Tatum
Jackie Brown,"Robert De Niro, Samuel L. Jackson, Michael Keaton"
The Muppet Christmas Carol,Michael Caine
Frida,Edward Norton
The Fault in Our Stars,Willem Dafoe
Rounders,"Matt Damon, Edward Norton"
Top Five,"Kevin Hart, Jerry Seinfeld, Adam Sandler"
Crank,Jason Statham
Girl with a Pearl Earring,Scarlett Johansson
About Time,"Margot Robbie, Rachel McAdams, Tom Holland, Domhnall Gleeson"
Cadillac Records,Adrien Brody
Celebrity,"Leonardo DiCaprio, Winona Ryder"
In the Cut,Mark Ruffalo
Two Lovers,Joaquin Phoenix
Last Orders,Michael Caine
Charlie Bartlett,Robert Downey Jr.
Stoker,Nicole Kidman
Married Life,Rachel McAdams
Welcome to Collinwood,George Clooney
The Life Before Her Eyes,Uma Thurman
Triangle,Liam Hemsworth
Snatch,"Brad Pitt, Jason Statham"
Star Wars,"Carrie Fisher, Harrison Ford, Mark Hamill"
Dirty Grandpa,Robert De Niro
The Fighter,"Mark Wahlberg, Christian Bale"
Brooklyn,Domhnall Gleeson
Woman in Gold,Ryan Reynolds
Kinsey,Liam Neeson
Slackers,"Jason Schwartzman, Cameron Diaz"
What's Eating Gilbert Grape,"Leonardo DiCaprio, Johnny Depp"
Inside Llewyn Davis,Carey Mulligan
Good Will Hunting,Matt Damon
Misconduct,Al Pacino
Bring It On,Kirsten Dunst
White Noise,Michael Keaton
Happy Gilmore,Adam Sandler
Nick and Norah's Infinite Playlist,Michael Cera
Dogma,Matt Damon
A Prairie Home Companion,Meryl Streep
Rushmore,Jason Schwartzman
Mo' Better Blues,"Denzel Washington, Samuel L. Jackson"
The Corruptor,Mark Wahlberg
Reno 911!: Miami,Dwayne Johnson
My Week with Marilyn,Emma Watson
Get Over It,Kirsten Dunst
Drop Dead Gorgeous,Kirsten Dunst
Big Eyes,"Jason Schwartzman, Christoph Waltz"
Very Bad Things,Cameron Diaz
Movie 43,"Hugh Jackman, Emma Stone, Chris Pratt, Uma Thurman"
Cedar Rapids,Sigourney Weaver
American History X,Edward Norton
The Red Violin,Samuel L. Jackson
Rescue Dawn,Christian Bale
Danny Collins,"Al Pacino, Jennifer Garner"
Romeo Is Bleeding,Gary Oldman
Spider,Ralph Fiennes
Gun Shy,Liam Neeson
The Iceman,"Chris Evans, Winona Ryder"
My Blueberry Nights,Natalie Portman
"War, Inc.",Ben Kingsley
Coriolanus,Ralph Fiennes
Imaginary Heroes,Sigourney Weaver
Motherhood,Uma Thurman
Strangerland,Nicole Kidman
The Oxford Murders,Elijah Wood
Fifty Dead Men Walking,Ben Kingsley
Adam Resurrected,"Willem Dafoe, Jeff Goldblum"
Adventureland,Ryan Reynolds
American Heist,Adrien Brody
Richard III,"Robert Downey Jr., Ian McKellen"
Melancholia,Kirsten Dunst
Alien,Sigourney Weaver
Detention,Josh Hutcherson
Harold & Kumar Go to White Castle,Ryan Reynolds
The Contender,Gary Oldman
Henry V,Christian Bale
Igby Goes Down,Jeff Goldblum
Velvet Goldmine,"Christian Bale, Ewan McGregor"
Undiscovered,Carrie Fisher
Red Riding: In the Year of Our Lord 1974,Andrew Garfield
Election,Matthew Broderick
Pulp Fiction,"Samuel L. Jackson, Uma Thurman"
Nightcrawler,Jake Gyllenhaal
Splash,Tom Hanks
50/50,Joseph Gordon-Levitt
Much Ado About Nothing,"Denzel Washington, Michael Keaton"
American Psycho,"Christian Bale, Willem Dafoe"
The Good Girl,Jake Gyllenhaal
The Boondock Saints II: All Saints Day,Willem Dafoe
Easy A,Emma Stone
Shadow of the Vampire,Willem Dafoe
Clay Pigeons,Joaquin Phoenix
When Did You Last See Your Father?,Carey Mulligan
Begin Again,Mark Ruffalo
Down in the Valley,Edward Norton
The Singing Detective,"Robert Downey Jr., Adrien Brody"
Fido,Carrie-Anne Moss
Wild Target,"Rupert Grint, Emily Blunt"
Wuthering Heights,Tom Hardy
Far from Men,Viggo Mortensen
An Education,Carey Mulligan
Shopgirl,Jason Schwartzman
Harry Brown,Michael Caine
Juno,"Michael Cera, Jennifer Garner"
The Godfather,"Al Pacino, Marlon Brando"
(500) Days of Summer,Joseph Gordon-Levitt
Magic Mike,Channing Tatum
"Definitely, Maybe",Ryan Reynolds
"Good Night, and Good Luck.","George Clooney, Robert Downey Jr."
A Single Man,Nicholas Hoult
The Last Temptation of Christ,Willem Dafoe
Auto Focus,Willem Dafoe
Mother and Child,Samuel L. Jackson
Hesher,"Natalie Portman, Joseph Gordon-Levitt"
Gerry,Matt Damon
Ca$h,Chris Hemsworth
Wah-Wah,Nicholas Hoult
The Boondock Saints,Willem Dafoe
Stargate: The Ark of Truth,Morena Baccarin
The Chumscrubber,"Ralph Fiennes, Carrie-Anne Moss"
House at the End of the Street,Jennifer Lawrence
Perrier’s Bounty,Domhnall Gleeson
Dressed to Kill,Michael Caine
The Adventures of Huck Finn,Elijah Wood
Shame,Carey Mulligan
Layer Cake,Tom Hardy
Platoon,"Willem Dafoe, Johnny Depp"
Fahrenheit 9/11,Robert De Niro
National Lampoon’s Van Wilder,Ryan Reynolds
School Daze,Samuel L. Jackson
Mystic Pizza,Matt Damon
The Virgin Suicides,Kirsten Dunst
Little Voice,"Michael Caine, Ewan McGregor"
The Wackness,Ben Kingsley
The Greatest,Carey Mulligan
Snow Flower and the Secret Fan,Hugh Jackman
Julia,Meryl Streep
Don Jon,"Channing Tatum, Scarlett Johansson, Joseph Gordon-Levitt"
Ghost World,Scarlett Johansson
Iris,Emma Stone
Wonderland,Carrie Fisher
Do the Right Thing,Samuel L. Jackson
The Ten,Winona Ryder
Freddy's Dead: The Final Nightmare,Johnny Depp
Dallas Buyers Club,Jennifer Garner
Memento,Carrie-Anne Moss
Eve's Bayou,Samuel L. Jackson
Sunshine Cleaning,Emily Blunt
Not Easily Broken,Kevin Hart
Force 10 from Navarone,Harrison Ford
The Machinist,Christian Bale
Light Sleeper,Willem Dafoe
Rabbit Hole,Nicole Kidman
Albino Alligator,Viggo Mortensen
Farce of the Penguins,Samuel L. Jackson
Yoga Hosers,Johnny Depp
Driving Lessons,Rupert Grint
Only God Forgives,Ryan Gosling
Treading Water,Carrie-Anne Moss
25th Hour,Edward Norton
Donnie Darko,Jake Gyllenhaal
Spun,Jason Schwartzman
Mean Machine,Jason Statham
After.Life,Liam Neeson
Sexy Beast,Ben Kingsley
Lost in Translation,Scarlett Johansson
Annie Hall,"Sigourney Weaver, Jeff Goldblum"
Monster's Ball,Heath Ledger
Leaving Las Vegas,Mariska Hargitay
The Kids Are All Right,"Mark Ruffalo, Josh Hutcherson"
