title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,rank,release_date,production_budget
Dumb and Dumberer: When Harry Met Lloyd,,10.0,23.0,,0,0,,,28986358.0,"2,247","Jun 13, 2003","$30,000,000"
The Heart of Me,,50.0,61.0,,0,0,,,,"4,652","May 2, 2003","$7,000,000"
Hollywood Homicide,Harrison Ford,30.0,27.0,,0,0,,,50409753.0,836,"Jun 13, 2003","$75,000,000"
Rugrats Go Wild,,40.0,39.0,,0,0,,,55443032.0,"2,555","Jun 13, 2003","$25,000,000"
Alex & Emma,,11.0,41.0,,0,0,,,,"2,284","Jun 20, 2003","$30,000,000"
From Justin to Kelly,,8.0,39.0,,0,0,,,,"3,906","Jun 20, 2003","$12,000,000"
Hulk,,63.0,29.0,,0,0,,,245031679.0,309,"Jun 20, 2003","$137,000,000"
Charlie's Angels: Full Throttle,Cameron Diaz,41.0,40.0,,0,0,,,227163273.0,386,"Jun 27, 2003","$120,000,000"
"Legally Blonde 2: Red, White & Blonde",,36.0,39.0,,0,0,,,125339088.0,"2,510","Jul 2, 2003","$25,000,000"
Sinbad: Legend of the Seven Seas,Brad Pitt,45.0,57.0,,0,0,,,80767884.0,"1,134","Jul 2, 2003","$60,000,000"
Swimming Pool,,83.0,67.0,,0,0,,,24021282.0,"4,529","Jul 4, 2003","$7,800,000"
The League of Extraordinary Gentlemen,,17.0,44.0,,0,0,,,179265204.0,778,"Jul 11, 2003","$78,000,000"
Northfork,,57.0,66.0,,0,0,,,,"5,757","Jul 11, 2003","$1,900,000"
Bad Boys II,Will Smith,24.0,78.0,,0,0,,,273271982.0,335,"Jul 18, 2003","$130,000,000"
How to Deal,,27.0,64.0,,0,0,,,,"3,383","Jul 18, 2003","$16,000,000"
Johnny English,,33.0,51.0,,0,0,,,161735791.0,"1,541","Apr 11, 2003","$45,000,000"
Dirty Pretty Things,,94.0,82.0,Oscars - WRITING (Original Screenplay)(Nominated),1,0,,Oscars - WRITING (Original Screenplay)(Nominated),,"4,165","Jul 18, 2003","$10,000,000"
Masked and Anonymous,,25.0,45.0,,0,0,,,,"4,551","Jul 24, 2003","$7,500,000"
Seabiscuit,Tobey Maguire,78.0,76.0,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",9,0,,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",148715342.0,632,"Jul 25, 2003","$86,000,000"
American Wedding,,53.0,63.0,,0,0,,,232354205.0,"1,205","Aug 1, 2003","$55,000,000"
Gigli,Al Pacino,6.0,14.0,,0,0,,,,"1,269","Aug 1, 2003","$54,000,000"
S.W.A.T.,Samuel L. Jackson,48.0,52.0,,0,0,,,207154748.0,883,"Aug 8, 2003","$70,000,000"
American Splendor,Josh Hutcherson,94.0,86.0,"Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",2,0,,"Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",,"5,649","Aug 15, 2003","$2,000,000"
Freddy vs. Jason,,42.0,50.0,,0,0,,,114576403.0,"2,515","Aug 15, 2003","$25,000,000"
Open Range,,79.0,84.0,,0,0,,,68613992.0,"2,464","Aug 15, 2003","$26,000,000"
Thirteen,,81.0,77.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",3,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",,"5,655","Aug 20, 2003","$2,000,000"
Marci X,,8.0,29.0,,0,0,,,,"3,080","Aug 22, 2003","$20,000,000"
My Boss's Daughter,,8.0,23.0,,0,0,,,,"3,664","Aug 22, 2003","$14,000,000"
Jeepers Creepers 2,,24.0,37.0,,0,0,,,119923801.0,"2,564","Aug 29, 2003","$25,000,000"
Dickie Roberts: Former Child Star,,22.0,46.0,,0,0,,,23734486.0,"3,308","Sep 5, 2003","$17,000,000"
The Order,Heath Ledger,13.0,28.0,,0,0,,,,"2,029","Sep 5, 2003","$35,000,000"
Party Monster,,29.0,75.0,,0,0,,,,"5,011","Aug 29, 2003","$5,000,000"
Lost in Translation,Scarlett Johansson,95.0,85.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Won)",9,4,"Oscars - WRITING (Original Screenplay)(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",117085297.0,"5,150","Sep 12, 2003","$4,000,000"
Once Upon a Time in Mexico,"Willem Dafoe, Johnny Depp",66.0,64.0,,0,0,,,97413527.0,"2,345","Sep 12, 2003","$29,000,000"
Anything Else,,40.0,44.0,,0,0,,,,"3,247","Sep 19, 2003","$18,000,000"
Secondhand Lions,Michael Caine,60.0,84.0,,0,0,,,47902566.0,"2,216","Sep 19, 2003","$30,000,000"
Duplex,,35.0,40.0,,0,0,,,,"1,790","Sep 26, 2003","$40,000,000"
The Rundown,Dwayne Johnson,70.0,66.0,,0,0,,,80831893.0,663,"Sep 26, 2003","$85,000,000"
Under the Tuscan Sun,,62.0,78.0,,0,0,,,57490024.0,"3,188","Sep 26, 2003","$18,000,000"
Out of Time,Denzel Washington,64.0,58.0,,0,0,,,55489826.0,"1,371","Oct 3, 2003","$50,000,000"
Intolerable Cruelty,George Clooney,76.0,48.0,,0,0,,,121327628.0,"1,119","Oct 10, 2003","$60,000,000"
Mystic River,,89.0,89.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",11,4,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",156822020.0,"2,159","Oct 8, 2003","$30,000,000"
The Texas Chainsaw Massacre,,37.0,58.0,,0,0,,,107967319.0,"4,322","Oct 17, 2003","$9,000,000"
Veronica Guerin,,53.0,69.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),,"3,326","Jul 11, 2003","$17,000,000"
In the Cut,Mark Ruffalo,34.0,34.0,,0,0,,,23693646.0,"3,909","Oct 22, 2003","$12,000,000"
Beyond Borders,,14.0,72.0,,0,0,,,,"1,156","Oct 24, 2003","$60,000,000"
Radio,,35.0,79.0,,0,0,,,53293628.0,"1,946","Oct 24, 2003","$35,000,000"
Scary Movie 3,Kevin Hart,35.0,54.0,,0,0,,,155200000.0,"1,495","Oct 24, 2003","$45,000,000"
The Singing Detective,"Robert Downey Jr., Adrien Brody",39.0,40.0,,0,0,,,,"4,498","Oct 24, 2003","$8,000,000"
Shattered Glass,,92.0,79.0,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated),,"4,786","Oct 31, 2003","$6,000,000"
Brother Bear,,37.0,66.0,Oscars - ANIMATED FEATURE FILM(Nominated),1,0,,Oscars - ANIMATED FEATURE FILM(Nominated),250397798.0,"1,484","Oct 24, 2003","$46,000,000"
Love Actually,Liam Neeson,64.0,72.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",246479647.0,"1,518","Nov 7, 2003","$45,000,000"
Looney Tunes: Back in Action,,57.0,50.0,,0,0,,,54540662.0,756,"Nov 14, 2003","$80,000,000"
Master and Commander: The Far Side of the World,,85.0,80.0,"Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",13,2,"Oscars - CINEMATOGRAPHY(Won)
Oscars - SOUND EDITING(Won)","Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",,317,"Nov 14, 2003","$135,000,000"
21 Grams,,81.0,86.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)",59667625.0,"3,000","Nov 21, 2003","$20,000,000"
Gothika,Robert Downey Jr.,15.0,45.0,,0,0,,,141484812.0,"1,682","Nov 21, 2003","$40,000,000"
Bad Santa,,78.0,75.0,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated),77147031.0,"3,177","Nov 26, 2003","$18,000,000"
The Cooler,,77.0,69.0,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),,"5,178","Nov 26, 2003","$4,000,000"
The Haunted Mansion,,13.0,31.0,,0,0,,,155750628.0,601,"Nov 26, 2003","$90,000,000"
Timeline,,13.0,45.0,,0,0,,,26703184.0,758,"Nov 26, 2003","$80,000,000"
Honey,,21.0,71.0,,0,0,,,62646763.0,"3,198","Dec 5, 2003","$18,000,000"
The Last Samurai,,66.0,83.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",7,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",456810575.0,297,"Dec 5, 2003","$140,000,000"
Something's Gotta Give,,72.0,69.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",3,1,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won),"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",266685242.0,705,"Dec 12, 2003","$80,000,000"
My Life Without Me,Mark Ruffalo,65.0,87.0,,0,0,,,,"5,557","Sep 26, 2003","$2,500,000"
Calendar Girls,,74.0,67.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),93074616.0,"4,090","Oct 9, 2003","$10,000,000"
House of Sand and Fog,Ben Kingsley,74.0,83.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",4,0,,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)",,"3,344","Dec 19, 2003","$16,500,000"
Mona Lisa Smile,Kirsten Dunst,34.0,60.0,Golden Globes - Best Original Song - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Song - Motion Picture(Nominated),141205169.0,986,"Dec 19, 2003","$65,000,000"
Monster,,82.0,81.0,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)",2,2,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)",,64200321.0,"4,906","Dec 24, 2003","$5,000,000"
Cold Mountain,"Nicole Kidman, Natalie Portman",70.0,77.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",15,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",165173909.0,716,"Dec 25, 2003","$80,000,000"
Paycheck,Uma Thurman,27.0,45.0,,0,0,,,98819789.0,"1,092","Dec 25, 2003","$60,000,000"
Shrek 2,"Mike Myers, Cameron Diaz",89.0,69.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",3,0,,"Oscars - ANIMATED FEATURE FILM(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",933848612.0,870,"May 19, 2004","$70,000,000"
Spider-Man 2,"Kirsten Dunst, Willem Dafoe, Tobey Maguire",93.0,82.0,"Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - VISUAL EFFECTS(Won)",3,1,Oscars - VISUAL EFFECTS(Won),"Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)",795888127.0,73,"Jun 30, 2004","$200,000,000"
The Passion of the Christ,,49.0,80.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)",3,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)",622313635.0,"2,499","Feb 19, 2004","$25,000,000"
Meet the Fockers,Robert De Niro,39.0,58.0,,0,0,,,516567575.0,"1,041","Dec 22, 2004","$60,000,000"
The Incredibles,Samuel L. Jackson,97.0,75.0,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",4,2,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - SOUND EDITING(Won)","Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",631441092.0,567,"Oct 22, 2004","$92,000,000"
Harry Potter and the Prisoner of Azkaban,"Emma Watson, Rupert Grint, Daniel Radcliffe, Gary Oldman",90.0,86.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",784234714.0,326,"May 31, 2004","$130,000,000"
The Day After Tomorrow,Jake Gyllenhaal,45.0,50.0,,0,0,,,555840117.0,360,"May 27, 2004","$125,000,000"
The Bourne Supremacy,Matt Damon,82.0,90.0,,0,0,,,311001124.0,639,"Jul 23, 2004","$85,000,000"
National Treasure,,46.0,76.0,,0,0,,,331323410.0,482,"Nov 19, 2004","$100,000,000"
The Polar Express,Tom Hanks,56.0,64.0,"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",4,0,,"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",320838625.0,180,"Nov 10, 2004","$170,000,000"
Chasing Liberty,,18.0,60.0,,0,0,,,,"2,754","Jan 9, 2004","$23,000,000"
My Baby's Daddy,,6.0,50.0,,0,0,,,,"3,876","Jan 9, 2004","$12,000,000"
Along Came Polly,Kevin Hart,27.0,47.0,,0,0,,,173044410.0,"1,600","Jan 16, 2004","$42,000,000"
D.E.B.S.,,42.0,56.0,,0,0,,,,"5,314","Mar 25, 2005","$3,500,000"
The Butterfly Effect,,34.0,81.0,,0,0,,,95638592.0,"3,724","Jan 23, 2004","$13,000,000"
The Big Bounce,,15.0,24.0,,0,0,,,,"1,431","Jan 30, 2004","$50,000,000"
You Got Served,,14.0,69.0,,0,0,,,50811858.0,"4,441","Jan 30, 2004","$8,000,000"
Barbershop 2: Back in Business,,69.0,48.0,,0,0,,,65842412.0,"3,175","Feb 6, 2004","$18,000,000"
Catch That Kid,,13.0,47.0,,0,0,,,,"3,218","Feb 6, 2004","$18,000,000"
Miracle,,81.0,90.0,,0,0,,,64474705.0,"2,376","Feb 6, 2004","$28,000,000"
50 First Dates,Adam Sandler,45.0,65.0,,0,0,,,196320329.0,805,"Feb 13, 2004","$75,000,000"
Against the Ropes,,12.0,29.0,,0,0,,,,"1,831","Feb 20, 2004","$39,000,000"
Confessions of a Teenage Drama Queen,,14.0,35.0,,0,0,,,33118854.0,"3,499","Feb 20, 2004","$15,000,000"
Eurotrip,,47.0,75.0,,0,0,,,20718223.0,"2,601","Feb 20, 2004","$25,000,000"
Welcome to Mooseport,,13.0,19.0,,0,0,,,,"2,483","Feb 20, 2004","$26,000,000"
Twisted,,2.0,31.0,,0,0,,,40119848.0,"1,398","Feb 27, 2004","$50,000,000"
Hidalgo,Viggo Mortensen,46.0,64.0,,0,0,,,108086731.0,777,"Mar 5, 2004","$78,000,000"
Starsky & Hutch,,63.0,49.0,Golden Globes - Best Television Series - Drama(Nominated),1,0,,Golden Globes - Best Television Series - Drama(Nominated),170200225.0,"1,064","Mar 5, 2004","$60,000,000"
Agent Cody Banks 2: Destination London,,13.0,31.0,,0,0,,,28703083.0,"2,479","Mar 12, 2004","$26,000,000"
Secret Window,Johnny Depp,45.0,65.0,,0,0,,,92110539.0,"1,702","Mar 12, 2004","$40,000,000"
Eternal Sunshine of the Spotless Mind,"Mark Ruffalo, Kirsten Dunst, Elijah Wood",92.0,94.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - WRITING (Original Screenplay)(Won)",2,1,Oscars - WRITING (Original Screenplay)(Won),Oscars - ACTRESS IN A LEADING ROLE(Nominated),72401378.0,"2,936","Mar 19, 2004","$20,000,000"
Jersey Girl,"Will Smith, Matt Damon",43.0,48.0,,0,0,,,37066129.0,"1,990","Mar 26, 2004","$35,000,000"
The Ladykillers,Tom Hanks,54.0,43.0,"Oscars - WRITING (Screenplay--Original)(Nominated)
BAFTAs - Film | British Film in 1956(Nominated)
BAFTAs - Film | British Screenplay in 1956(Won)
BAFTAs - Film | Film From Any Source in 1956(Nominated)",4,1,BAFTAs - Film | British Screenplay in 1956(Won),"Oscars - WRITING (Screenplay--Original)(Nominated)
BAFTAs - Film | British Film in 1956(Nominated)
BAFTAs - Film | Film From Any Source in 1956(Nominated)",77392139.0,"1,960","Mar 26, 2004","$35,000,000"
Hellboy,,81.0,66.0,,0,0,,,99823958.0,"1,084","Apr 2, 2004","$60,000,000"
Hellboy,,81.0,66.0,,0,0,,,99823958.0,"1,402","Apr 10, 2019","$50,000,000"
Home on the Range,,52.0,29.0,,0,0,,,76482461.0,443,"Apr 2, 2004","$110,000,000"
The Prince & Me,,29.0,59.0,,0,0,,,30089110.0,"2,244","Apr 2, 2004","$30,000,000"
Johnson Family Vacation,,6.0,44.0,,0,0,,,31286759.0,"3,853","Apr 7, 2004","$12,000,000"
The Alamo,,29.0,46.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",8,2,"Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)",23911362.0,569,"Apr 9, 2004","$92,000,000"
The Alamo,,29.0,46.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)
Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",8,2,"Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY (Color)(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - BEST MOTION PICTURE(Nominated)",23911362.0,"3,898","Oct 24, 1960","$12,000,000"
Ella Enchanted,,51.0,57.0,,0,0,,,24200318.0,"1,996","Apr 9, 2004","$35,000,000"
The Whole Ten Yards,,4.0,40.0,,0,0,,,26323969.0,"2,278","Apr 9, 2004","$30,000,000"
Connie and Carla,,44.0,70.0,,0,0,,,,"3,048","Apr 16, 2004","$20,000,000"
Man on Fire,Denzel Washington,39.0,89.0,,0,0,,,130968579.0,"1,069","Apr 23, 2004","$60,000,000"
Bobby Jones: Stroke of Genius,,27.0,62.0,,0,0,,,,"3,322","Apr 30, 2004","$17,000,000"
Godsend,Robert De Niro,4.0,20.0,,0,0,,,,"2,283","Apr 30, 2004","$30,000,000"
Laws of Attraction,,18.0,47.0,,0,0,,,29939591.0,"2,110","Apr 30, 2004","$32,000,000"
Mean Girls,"Rachel McAdams, Amy Poehler",84.0,66.0,,0,0,,,130125378.0,"1,893","Jan 10, 2024","$36,000,000"
Mean Girls,"Rachel McAdams, Amy Poehler",84.0,66.0,,0,0,,,130125378.0,"3,171","Apr 30, 2004","$18,000,000"
New York Minute,,11.0,47.0,,0,0,,,21156715.0,"1,781","May 7, 2004","$40,000,000"
Van Helsing,,24.0,57.0,,0,0,,,300150546.0,183,"May 5, 2004","$170,000,000"
Breakin' All the Rules,,31.0,57.0,,0,0,,,,"4,345","May 14, 2004","$9,000,000"
Troy,Brad Pitt,53.0,73.0,Oscars - COSTUME DESIGN(Nominated),1,0,,Oscars - COSTUME DESIGN(Nominated),483152040.0,256,"May 13, 2004","$150,000,000"
Raising Helen,,25.0,61.0,,0,0,,,49842431.0,"1,377","May 28, 2004","$50,000,000"
