title,critic_score,audience_score
The Last Valley,,78.0
Doctors' Wives,20.0,
King Lear,,
How to Frame a Figg,,72.0
Little Murders,71.0,80.0
Raid on Rommel,,31.0
Countess Dracula,40.0,44.0
Gas-s-s-s,,19.0
Cold Turkey,60.0,65.0
The Pursuit of Happiness,,
The Pursuit of Happiness,,33.0
Wanda,92.0,70.0
Death in Venice,80.0,
The Emigrants,94.0,87.0
The Emigrants,94.0,87.0
Get Carter,87.0,84.0
Lawman,73.0,63.0
THX-1138,86.0,73.0
Up Pompeii,,41.0
The Andromeda Strain,68.0,72.0
Vanishing Point,79.0,81.0
The Barefoot Executive,,
The Barefoot Executive,83.0,48.0
Brother John,,54.0
Friends,,
The Deserter,,
The Deserter,,
The Battle of Love's Return,,67.0
Taking Off,100.0,84.0
B.S. I Love You,,
Just Before Nightfall,,81.0
Shinbone Alley,,68.0
Zodiac Killer,,17.0
The Mephisto Waltz,63.0,43.0
Summer of '42,79.0,73.0
Valdez Is Coming,,67.0
The Blood on Satan's Claw,73.0,58.0
The Blood on Satan's Claw,73.0,58.0
Melody,,93.0
Sweet Sweetback's Baadasssss Song,73.0,48.0
The Cat,,
The Cat,,
Bananas,83.0,74.0
Pretty Maids All in a Row,8.0,48.0
The Big Doll House,100.0,50.0
Billy Jack,63.0,63.0
Mrs. Pollifax: Spy,,38.0
Plaza Suite,67.0,56.0
Wake in Fright,97.0,83.0
Johnny Got His Gun,67.0,86.0
The Abominable Dr. Phibes,88.0,75.0
Escape From the Planet of the Apes,76.0,53.0
Pink Narcissus,,74.0
Big Jake,75.0,85.0
Support Your Local Gunfighter,62.0,61.0
The Villain,0.0,39.0
The Beguiled,78.0,48.0
The Beguiled,90.0,72.0
The Grissom Gang,46.0,70.0
The Young Graduates,,40.0
The Young Graduates,,40.0
Spenser: Ceremony,,
The Deadly Trap,,29.0
They Might Be Giants,61.0,74.0
"Drive, He Said",57.0,21.0
Wuthering Heights,31.0,66.0
Fortune and Men's Eyes,57.0,53.0
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,40.0,33.0
The Anderson Tapes,76.0,53.0
Willard,64.0,51.0
Scandalous John,20.0,
Le Mans,71.0,79.0
Man and Boy,,71.0
McCabe & Mrs. Miller,85.0,86.0
Klute,93.0,80.0
The Hellstrom Chronicle,75.0,87.0
Carnal Knowledge,88.0,72.0
"$1,000,000 Duck",17.0,41.0
My Old Man's Place,,
What's the Matter With Helen?,55.0,41.0
Willy Wonka and the Chocolate Factory,92.0,87.0
Murphy's War,,62.0
Walkabout,86.0,86.0
"Sunday, Bloody Sunday",87.0,70.0
Shaft,34.0,94.0
Two-Lane Blacktop,93.0,82.0
Vampyros Lesbos,56.0,47.0
The Devils,70.0,88.0
The Devils,70.0,88.0
The Hunting Party,20.0,54.0
Hunting Party,,
The Light at the Edge of the World,,62.0
At the Edge of the World,87.0,48.0
Gamera vs. Zigra,,14.0
The Seven Minutes,,41.0
Seven Minutes,,
Godzilla vs. Hedorah,64.0,49.0
Godzilla vs. Hedorah,64.0,49.0
The Horsemen,30.0,57.0
Horsemen,17.0,25.0
On Any Sunday,83.0,84.0
Von Richthofen and Brown,56.0,35.0
The Go-Between,100.0,78.0
Bless the Beasts and Children,,69.0
The Hunting Party,20.0,54.0
Hunting Party,,
The Omega Man,65.0,53.0
The Omega Man,65.0,53.0
The Love Machine,,
The Love Machine,,
The Mephisto Waltz,63.0,43.0
The Hired Hand,81.0,75.0
"Die Screaming, Marianne",,11.0
Cry Uncle,,64.0
The Marriage of a Young Stockbroker,,
Let's Scare Jessica to Death,36.0,50.0
Beware of a Holy Whore,84.0,62.0
See No Evil,10.0,50.0
The Return of Sabata,,45.0
Red Sun,,
Kotch,75.0,68.0
Dracula vs. Frankenstein,,18.0
Desperate Characters,,40.0
"Unman, Wittering and Zigo",40.0,82.0
The Last Rebel,,
The Trojan Women,,52.0
"Tiki, Tiki",,
And Now for Something Completely Different,88.0,87.0
The Last Movie,,
The Last Movie,50.0,52.0
The Skin Game,,
Zeppelin,,50.0
The French Connection,96.0,87.0
The French Connection,96.0,87.0
Shootout,20.0,44.0
A Safe Place,,23.0
Bunny O'Hare,,36.0
Catlow,,38.0
