tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0375063,movie,Sideways,sideways,0,2004.0,,127.0,"Comedy,Drama,Romance",sideways,https://www.rottentomatoes.com/m/sideways,"Released Oct 22, 2004",97%,79%
tt0375066,movie,Simhadri,simhadri,0,2003.0,,170.0,"Action,Drama",simhadri,https://www.rottentomatoes.com/m/simhadri,2014,,
tt0375104,movie,Bobby Jones: Stroke of Genius,bobby jones: stroke of genius,0,2004.0,,120.0,"Biography,Drama,Romance",bobby jones: stroke of genius,https://www.rottentomatoes.com/m/bobby_jones_stroke_of_genius,"Released Apr 30, 2004",27%,62%
tt0375210,movie,White Noise,white noise,0,2005.0,,101.0,"Drama,Horror,Mystery",white noise,https://www.rottentomatoes.com/m/white_noise,"Released Jan 7, 2005",7%,31%
tt0375529,movie,AfterLife,afterlife,0,2003.0,,100.0,Drama,afterlife,https://www.rottentomatoes.com/m/afterlife,2003,,67%
tt0375568,movie,Astro Boy,astro boy,0,2009.0,,94.0,"Action,Adventure,Animation",astro boy,https://www.rottentomatoes.com/m/astro_boy,"Released Oct 23, 2009",51%,50%
tt0376105,movie,Racing Stripes,racing stripes,0,2005.0,,102.0,"Adventure,Comedy,Drama",racing stripes,https://www.rottentomatoes.com/m/racing_stripes,"Released Jan 14, 2005",35%,42%
tt0376196,movie,Slow Burn,slow burn,0,2005.0,,93.0,"Drama,Mystery,Thriller",slow burn,https://www.rottentomatoes.com/m/slow_burn,"Released Apr 13, 2007",9%,55%
tt0376479,movie,American Pastoral,american pastoral,0,2016.0,,108.0,"Crime,Drama,Mystery",american pastoral,https://www.rottentomatoes.com/m/american_pastoral,"Released Oct 21, 2016",24%,31%
tt0376541,movie,Closer,closer,0,2004.0,,104.0,"Drama,Romance",closer,https://www.rottentomatoes.com/m/closer,"Released Dec 3, 2004",68%,81%
tt0376606,movie,Frozen,frozen,0,2005.0,,90.0,Thriller,frozen,https://www.rottentomatoes.com/m/frozen,1996,56%,62%
tt0377032,movie,Anonymous,anonymous,0,2004.0,,82.0,Drama,anonymous,https://www.rottentomatoes.com/m/anonymous,2004,20%,33%
tt0377062,movie,Flight of the Phoenix,flight of the phoenix,0,2004.0,,113.0,"Action,Adventure,Drama",flight of the phoenix,https://www.rottentomatoes.com/m/flight_of_the_phoenix,"Released Dec 22, 2004",31%,40%
tt0377092,movie,Mean Girls,mean girls,0,2004.0,,97.0,Comedy,mean girls,https://www.rottentomatoes.com/m/mean_girls,In Theaters Thu Oct 3,84%,66%
tt0377109,movie,The Ring Two,the ring two,0,2005.0,,110.0,"Horror,Mystery",the ring two,https://www.rottentomatoes.com/m/ring_two,"Released Mar 18, 2005",21%,33%
tt0377471,movie,Be Cool,be cool,0,2005.0,,118.0,"Comedy,Crime,Music",be cool,https://www.rottentomatoes.com/m/be_cool,"Released Mar 4, 2005",30%,42%
tt0377818,movie,The Dukes of Hazzard,the dukes of hazzard,0,2005.0,,104.0,Comedy,the dukes of hazzard,https://www.rottentomatoes.com/m/dukes_of_hazzard,"Released Aug 5, 2005",14%,46%
