year,category,nominee,winner
1931,CINEMATOGRAPHY,Morocco,False
1931,CINEMATOGRAPHY,The Right to Love,False
1931,CINEMATOGRAPHY,Svengali,False
1931,CINEMATOGRAPHY,Tabu,True
1931,DIRECTING,Cimarron,False
1931,DIRECTING,A Free Soul,False
1931,DIRECTING,The Front Page,False
1931,DIRECTING,Morocco,False
1931,DIRECTING,Skippy,True
1931,OUTSTANDING PRODUCTION,Cimarron,True
1931,OUTSTANDING PRODUCTION,East Lynne,False
1931,OUTSTANDING PRODUCTION,The Front Page,False
1931,OUTSTANDING PRODUCTION,Skippy,False
1931,OUTSTANDING PRODUCTION,Trader Horn,False
1931,SOUND RECORDING,,False
1931,SOUND RECORDING,,False
1931,SOUND RECORDING,,True
1931,SOUND RECORDING,,False
1931,WRITING (Adaptation),Cimarron,True
1931,WRITING (Adaptation),The Criminal Code,False
1931,WRITING (Adaptation),Holiday,False
1931,WRITING (Adaptation),Little Caesar,False
1931,WRITING (Adaptation),Skippy,False
1931,WRITING (Original Story),The Dawn Patrol,True
1931,WRITING (Original Story),The Doorway to Hell,False
1931,WRITING (Original Story),Laughter,False
1931,WRITING (Original Story),The Public Enemy,False
1931,WRITING (Original Story),Smart Money,False
1932,ACTOR,The Champ,True
1932,ACTOR,The Guardsman,False
1932,ACTOR,Dr. Jekyll and Mr. Hyde,True
1932,ACTRESS,Emma,False
1932,ACTRESS,The Guardsman,False
1932,ACTRESS,The Sin of Madelon Claudet,True
1932,ART DIRECTION,À Nous la Liberté,False
1932,ART DIRECTION,Arrowsmith,False
1932,ART DIRECTION,Transatlantic,True
1932,CINEMATOGRAPHY,Arrowsmith,False
1932,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,False
1932,CINEMATOGRAPHY,Shanghai Express,True
1932,DIRECTING,Bad Girl,True
1932,DIRECTING,The Champ,False
1932,DIRECTING,Shanghai Express,False
1932,OUTSTANDING PRODUCTION,Arrowsmith,False
1932,OUTSTANDING PRODUCTION,Bad Girl,False
1932,OUTSTANDING PRODUCTION,The Champ,False
1932,OUTSTANDING PRODUCTION,Five Star Final,False
1932,OUTSTANDING PRODUCTION,Grand Hotel,True
1932,OUTSTANDING PRODUCTION,One Hour with You,False
1932,OUTSTANDING PRODUCTION,Shanghai Express,False
1932,OUTSTANDING PRODUCTION,The Smiling Lieutenant,False
1932,SHORT SUBJECT (Cartoon),Flowers and Trees,True
1932,SHORT SUBJECT (Cartoon),It's Got Me Again,False
1932,SHORT SUBJECT (Cartoon),Mickey's Orphans,False
1932,SHORT SUBJECT (Comedy),The Loud Mouth,False
1932,SHORT SUBJECT (Comedy),The Music Box,True
1932,SHORT SUBJECT (Comedy),Scratch-As-Catch-Can,False
1932,SHORT SUBJECT (Comedy),Stout Hearts and Willing Hands,False
1932,SHORT SUBJECT (Novelty),Screen Souvenirs,False
1932,SHORT SUBJECT (Novelty),Swing High,False
1932,SHORT SUBJECT (Novelty),Wrestling Swordfish,True
1932,SOUND RECORDING,,False
1932,SOUND RECORDING,,True
1932,SOUND RECORDING,,False
1932,SOUND RECORDING,,False
1932,WRITING (Adaptation),Arrowsmith,False
1932,WRITING (Adaptation),Bad Girl,True
1932,WRITING (Adaptation),Dr. Jekyll and Mr. Hyde,False
1932,WRITING (Original Story),The Champ,True
1932,WRITING (Original Story),Lady and Gent,False
1932,WRITING (Original Story),The Star Witness,False
1932,WRITING (Original Story),What Price Hollywood?,False
1932,SPECIAL AWARD,,True
1933,ACTOR,Berkeley Square,False
1933,ACTOR,The Private Life of Henry VIII,True
1933,ACTOR,I Am a Fugitive from a Chain Gang,False
1933,ACTRESS,Morning Glory,True
1933,ACTRESS,Lady for a Day,False
1933,ACTRESS,Cavalcade,False
1933,ART DIRECTION,Cavalcade,True
1933,ART DIRECTION,A Farewell to Arms,False
1933,ART DIRECTION,When Ladies Meet,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,False
1933,ASSISTANT DIRECTOR,,True
1933,ASSISTANT DIRECTOR,,False
1933,CINEMATOGRAPHY,A Farewell to Arms,True
1933,CINEMATOGRAPHY,Reunion in Vienna,False
1933,CINEMATOGRAPHY,The Sign of the Cross,False
1933,DIRECTING,Cavalcade,True
1933,DIRECTING,Lady for a Day,False
1933,DIRECTING,Little Women,False
1933,OUTSTANDING PRODUCTION,Cavalcade,True
1933,OUTSTANDING PRODUCTION,A Farewell to Arms,False
1933,OUTSTANDING PRODUCTION,42nd Street,False
1933,OUTSTANDING PRODUCTION,I Am a Fugitive from a Chain Gang,False
1933,OUTSTANDING PRODUCTION,Lady for a Day,False
1933,OUTSTANDING PRODUCTION,Little Women,False
1933,OUTSTANDING PRODUCTION,The Private Life of Henry VIII,False
1933,OUTSTANDING PRODUCTION,She Done Him Wrong,False
1933,OUTSTANDING PRODUCTION,Smilin' Through,False
1933,OUTSTANDING PRODUCTION,State Fair,False
1933,SHORT SUBJECT (Cartoon),Building a Building,False
1933,SHORT SUBJECT (Cartoon),The Merry Old Soul,False
1933,SHORT SUBJECT (Cartoon),The Three Little Pigs,True
1933,SHORT SUBJECT (Comedy),Mister Mugg,False
1933,SHORT SUBJECT (Comedy),A Preferred List,False
1933,SHORT SUBJECT (Comedy),So This Is Harris,True
1933,SHORT SUBJECT (Novelty),Krakatoa,True
1933,SHORT SUBJECT (Novelty),Menu,False
1933,SHORT SUBJECT (Novelty),The Sea,False
1933,SOUND RECORDING,A Farewell to Arms,True
1933,SOUND RECORDING,42nd Street,False
1933,SOUND RECORDING,Gold Diggers of 1933,False
1933,SOUND RECORDING,I Am a Fugitive from a Chain Gang,False
1933,WRITING (Adaptation),Lady for a Day,False
1933,WRITING (Adaptation),Little Women,True
1933,WRITING (Adaptation),State Fair,False
1933,WRITING (Original Story),One Way Passage,True
1933,WRITING (Original Story),The Prizefighter and the Lady,False
1933,WRITING (Original Story),Rasputin and the Empress,False
1935,ACTOR,It Happened One Night,True
1935,ACTOR,The Affairs of Cellini,False
1935,ACTOR,The Thin Man,False
1935,ACTRESS,It Happened One Night,True
1935,ACTRESS,Of Human Bondage,False
1935,ACTRESS,One Night of Love,False
1935,ACTRESS,The Barretts of Wimpole Street,False
1935,ART DIRECTION,The Affairs of Cellini,False
1935,ART DIRECTION,The Gay Divorcee,False
1935,ART DIRECTION,The Merry Widow,True
1935,ASSISTANT DIRECTOR,Cleopatra,False
1935,ASSISTANT DIRECTOR,Imitation of Life,False
1935,ASSISTANT DIRECTOR,Viva Villa!,True
1935,CINEMATOGRAPHY,The Affairs of Cellini,False
1935,CINEMATOGRAPHY,Cleopatra,True
1935,CINEMATOGRAPHY,Operator 13,False
1935,DIRECTING,It Happened One Night,True
1935,DIRECTING,One Night of Love,False
1935,DIRECTING,The Thin Man,False
1935,FILM EDITING,Cleopatra,False
1935,FILM EDITING,Eskimo,True
1935,FILM EDITING,One Night of Love,False
1935,MUSIC (Scoring),The Gay Divorcee,False
1935,MUSIC (Scoring),The Lost Patrol,False
1935,MUSIC (Scoring),One Night of Love,True
1935,MUSIC (Song),Flying Down to Rio,False
1935,MUSIC (Song),The Gay Divorcee,True
1935,MUSIC (Song),She Loves Me Not,False
1935,OUTSTANDING PRODUCTION,The Barretts of Wimpole Street,False
1935,OUTSTANDING PRODUCTION,Cleopatra,False
1935,OUTSTANDING PRODUCTION,Flirtation Walk,False
1935,OUTSTANDING PRODUCTION,The Gay Divorcee,False
1935,OUTSTANDING PRODUCTION,Here Comes the Navy,False
1935,OUTSTANDING PRODUCTION,The House of Rothschild,False
1935,OUTSTANDING PRODUCTION,Imitation of Life,False
1935,OUTSTANDING PRODUCTION,It Happened One Night,True
1935,OUTSTANDING PRODUCTION,One Night of Love,False
1935,OUTSTANDING PRODUCTION,The Thin Man,False
1935,OUTSTANDING PRODUCTION,Viva Villa!,False
1935,OUTSTANDING PRODUCTION,The White Parade,False
