year,category,winner,nominee
1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,For Whom The Bell Tolls
1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,For Whom The Bell Tolls
1944,Best Director - Motion Picture,True,The Song Of Bernadette
1944,Picture,True,The Song Of Bernadette
1944,Actress In A Leading Role,True,The Song Of Bernadette
1944,Actor In A Leading Role,True,Watch On The Rhine
1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Mrs. Parkington
1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Going My Way
1945,Best Director - Motion Picture,True,Going My Way
1945,Picture,True,Going My Way
1945,Actress In A Leading Role,True,Gaslight
1945,Actor In A Leading Role,True,Wilson
1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,The Picture of Dorian Gray
1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,A Medal For Benny
1946,Best Director - Motion Picture,True,The Lost Weekend
1946,Promoting International Understanding,True,The House I Live In
1946,Picture,True,The Lost Weekend
1946,Actress In A Leading Role,True,The Bells of St. Mary's
1946,Actor In A Leading Role,True,The Lost Weekend
1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,The Razor's Edge
1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,The Razor's Edge
1947,Best Director - Motion Picture,True,It's A Wonderful Life
1947,Promoting International Understanding,True,The Last Chance
1947,Special Achievement Award,False,The Best Years Of Our Lives
1947,Picture,True,The Best Years Of Our Lives
1947,Actress In A Leading Role,True,Sister Kenny
1947,Actor In A Leading Role,True,The Yearling
1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Gentleman's Agreement
1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Miracle On 34th Street
1948,Best Director - Motion Picture,True,Gentleman's Agreement
1948,Best Screenplay - Motion Picture,True,Miracle On 34th Street
1948,Best Original Score - Motion Picture,True,Life With Father
1948,Special Achievement Award,False,Bambi
1948,New Star Of The Year - Actress,True,That Hagen Girl
1948,New Star Of The Year - Actor,True,Kiss Of Death
1948,Picture,True,Gentleman's Agreement
1948,Juvenile Performance,True,Gentleman's Agreement
1948,Actress In A Leading Role,True,Mourning Becomes Electra
1948,Actor In A Leading Role,True,A Double Life
1948,Cinematography,True,Black Narcissus
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,I Remember Mama
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,The Treasure of the Sierra Madre
1949,Best Director - Motion Picture,True,The Treasure of the Sierra Madre
1949,Best Screenplay - Motion Picture,True,The Search
1949,Best Original Score - Motion Picture,True,The Red Shoes
1949,Promoting International Understanding,True,The Search
1949,Picture,True,Johnny Belinda
1949,Picture,True,The Treasure of the Sierra Madre
1949,Juvenile Performance,True,The Search
1949,Actress In A Leading Role,True,Johnny Belinda
1949,Actor In A Leading Role,True,Hamlet (1948)
1949,Foreign Film - English Language,True,Hamlet (1948)
1949,Cinematography,True,The Pearl
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,All The King's Men
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,The Heiress
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Battleground
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Intruder In The Dust
1950,Best Director - Motion Picture,True,All The King's Men
1950,Best Director - Motion Picture,False,The Heiress
1950,Best Screenplay - Motion Picture,True,Battleground
1950,Best Screenplay - Motion Picture,False,Rope of Sand
1950,Best Motion Picture - Foreign Language,True,"Italy, Vittorio De Sica"
1950,Best Motion Picture - Foreign Language,False,"United Kingdom, Carol Reed"
1950,Best Original Score - Motion Picture,True,The Inspector General
1950,Best Original Score - Motion Picture,False,All The King's Men
1950,Promoting International Understanding,True,The Hasty Heart
1950,Promoting International Understanding,False,Monsieur Vincent
1950,New Star Of The Year - Actress,True,All The King's Men
1950,New Star Of The Year - Actress,False,Champion
1950,New Star Of The Year - Actor,True,The Hasty Heart
1950,New Star Of The Year - Actor,False,Intruder In The Dust
1950,Outstanding Use Of Color,True,The Adventures of Ichabod and Mr. Toad
1950,Outstanding Use Of Color,False,On The Town
1950,Picture,True,All The King's Men
1950,Picture,False,Come To The Stable
1950,Actress In A Leading Role,True,The Heiress
1950,Actress In A Leading Role,False,"Edward, My Son"
1950,Actor In A Leading Role,True,All The King's Men
1950,Actor In A Leading Role,False,The Hasty Heart
1950,Cinematography,True,Champion
1950,Cinematography,False,All The King's Men
1951,Best Performance by an Actress in a Motion Picture - Drama,True,Sunset Boulevard
1951,Best Performance by an Actress in a Motion Picture - Drama,False,All About Eve
1951,Best Performance by an Actress in a Motion Picture - Drama,False,Born Yesterday
1951,Best Performance by an Actor in a Motion Picture - Drama,True,Cyrano de Bergerac (1950)
1951,Best Performance by an Actor in a Motion Picture - Drama,False,The Magnificent Yankee
1951,Best Performance by an Actor in a Motion Picture - Drama,False,Harvey
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,Three Little Words
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,When Willie Comes Marching Home
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,The Sin Of Harold Diddlebock
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Harvey
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Adam's Rib
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,All About Eve
1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Mister 880
1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Sunset Boulevard
1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,All About Eve
1951,Best Director - Motion Picture,True,Sunset Boulevard
1951,Best Director - Motion Picture,False,Born Yesterday
1951,Best Director - Motion Picture,False,The Asphalt Jungle
1951,Best Director - Motion Picture,False,All About Eve
1951,Best Screenplay - Motion Picture,True,All About Eve
1951,Best Screenplay - Motion Picture,False,Sunset Boulevard
1951,Best Screenplay - Motion Picture,False,The Asphalt Jungle
1951,Best Original Score - Motion Picture,True,Sunset Boulevard
1951,Best Original Score - Motion Picture,False,Destination Moon
1951,Best Original Score - Motion Picture,False,A Life Of Her Own
1951,Promoting International Understanding,True,Broken Arrow
1951,Promoting International Understanding,False,The Big Lift
1951,Promoting International Understanding,False,The Next Voice You Hear...
1951,New Star Of The Year,True,Tea For Two
1951,New Star Of The Year,False,Cyrano de Bergerac (1950)
1951,New Star Of The Year,False,Three Little Words
1951,Picture,True,Sunset Boulevard
1951,Picture,False,Born Yesterday
1951,Picture,False,Cyrano de Bergerac (1950)
1951,Actress In A Leading Role - Musical Or Comedy,True,Born Yesterday
1951,Actress In A Leading Role - Musical Or Comedy,False,Louisa
1951,Actress In A Leading Role - Musical Or Comedy,False,Annie Get Your Gun
1951,Henrietta Award (World Film Favorites),True,Gregory Peck
1951,Henrietta Award (World Film Favorites),True,Jane Wyman
1951,Cinematography - Color,True,King Solomon's Mines
1951,Cinematography - Color,False,Broken Arrow
1951,Cinematography - Color,False,Samson and Delilah
1951,Cinematography - Black And White,True,Cyrano de Bergerac (1950)
1951,Cinematography - Black And White,False,The Asphalt Jungle
1951,Cinematography - Black And White,False,Sunset Boulevard
1952,Best Motion Picture - Drama,True,A Place In The Sun
1952,Best Motion Picture - Drama,False,Quo Vadis?
1952,Best Motion Picture - Drama,False,A Streetcar Named Desire (1951)
1952,Best Motion Picture - Drama,False,Bright Victory
1952,Best Motion Picture - Drama,False,Detective Story
1952,Best Motion Picture - Musical or Comedy,True,An American In Paris
1952,Best Performance by an Actress in a Motion Picture - Drama,True,The Blue Veil
1952,Best Performance by an Actress in a Motion Picture - Drama,False,A Streetcar Named Desire (1951)
1952,Best Performance by an Actress in a Motion Picture - Drama,False,A Place In The Sun
1952,Best Performance by an Actor in a Motion Picture - Drama,True,Death of a Salesman (1951)
1952,Best Performance by an Actor in a Motion Picture - Drama,False,Detective Story
1952,Best Performance by an Actor in a Motion Picture - Drama,False,Bright Victory
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,On The Riviera
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Here Comes The Groom
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,An American In Paris
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,A Streetcar Named Desire (1951)
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Detective Story
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,"Mating Season, The"
1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Quo Vadis?
1952,Best Director - Motion Picture,True,Death of a Salesman (1951)
1952,Best Director - Motion Picture,False,An American In Paris
1952,Best Director - Motion Picture,False,A Place In The Sun
1952,Best Screenplay - Motion Picture,True,Bright Victory
1952,Best Original Score - Motion Picture,True,September Affair
1952,Best Original Score - Motion Picture,False,The Day The Earth Stood Still
1952,Best Original Score - Motion Picture,False,The Well
1952,Promoting International Understanding,True,The Day The Earth Stood Still
1952,Special Achievement Award,False,Pictura 
1952,New Star Of The Year - Actress,True,Teresa
1952,New Star Of The Year - Actor,True,Death of a Salesman (1951)
1952,Actress In A Leading Role - Musical Or Comedy,True,Too Young To Kiss
1952,Henrietta Award (World Film Favorite),True,Esther Williams
1952,Henrietta Award (World Film Favorite),True,Alan Ladd
1952,Cinematography - Color,True,Quo Vadis?
1952,Cinematography - Black And White,True,Death of a Salesman (1951)
1952,Cinematography - Black And White,False,Decision Before Dawn
1952,Cinematography - Black And White,False,A Place In The Sun
1953,Best Motion Picture - Drama,True,The Greatest Show On Earth
1953,Best Motion Picture - Drama,False,"Come Back, Little Sheba"
1953,Best Motion Picture - Drama,False,The Happy Time
1953,Best Motion Picture - Drama,False,High Noon
1953,Best Motion Picture - Drama,False,The Thief
1953,Best Motion Picture - Musical or Comedy,True,With a Song in My Heart
1953,Best Motion Picture - Musical or Comedy,False,Hans Christian Andersen
1953,Best Motion Picture - Musical or Comedy,False,I'll See You in My Dreams
1953,Best Motion Picture - Musical or Comedy,False,Singin' in the Rain
1953,Best Motion Picture - Musical or Comedy,False,Star and Stripes Forever
1953,Best Performance by an Actress in a Motion Picture - Drama,True,"Come Back, Little Sheba"
1953,Best Performance by an Actress in a Motion Picture - Drama,False,Sudden Fear
1953,Best Performance by an Actress in a Motion Picture - Drama,False,My Cousin Rachel
1953,Best Performance by an Actor in a Motion Picture - Drama,True,High Noon
1953,Best Performance by an Actor in a Motion Picture - Drama,False,The Happy Time
1953,Best Performance by an Actor in a Motion Picture - Drama,False,The Thief
1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,Singin' in the Rain
1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Hans Christian Andersen
1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Stars and Stripes Forever
1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,High Noon
1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Viva Zapata!
1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,"Bad and The Beautiful, The"
1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,My Six Convicts
1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,The Happy Time
1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,"Bad and The Beautiful, The"
1953,Best Director - Motion Picture,True,The Greatest Show On Earth
1953,Best Director - Motion Picture,False,The Happy Time
1953,Best Director - Motion Picture,False,The Quiet Man
1953,Best Screenplay - Motion Picture,True,5 Fingers
1953,Best Screenplay - Motion Picture,False,The Thief
1953,Best Screenplay - Motion Picture,False,High Noon
1953,Best Original Score - Motion Picture,True,High Noon
1953,Best Original Score - Motion Picture,False,Ivanhoe
1953,Best Original Score - Motion Picture,False,The Quiet Man
1953,Cecil B. deMille Award,False,Walt Disney
1953,Cecil B. deMille Award,False,Stanley Kramer
1953,Cecil B. deMille Award,False,Adolph Zukor
1953,Promoting International Understanding,True,Anything Can Happen
1953,Promoting International Understanding,False,Assignment: Paris
1953,Promoting International Understanding,False,Ivanhoe
1953,Special Achievement Award,False,Navajo
1953,New Star Of The Year - Actress,True,Moulin Rouge
1953,New Star Of The Year - Actress,False,The Thief
1953,New Star Of The Year - Actress,False,High Noon
1953,New Star Of The Year - Actor,True,My Cousin Rachel
1953,New Star Of The Year - Actor,False,Pat and Mike
1953,New Star Of The Year - Actor,False,Stars and Stripes Forever
1953,Juvenile Performance,True,"Member of the Wedding, The"
1953,Juvenile Performance,False,Navajo
1953,Juvenile Performance,False,My Pal Gus
1953,Actress In A Leading Role - Musical Or Comedy,True,With a Song in My Heart
1953,Actress In A Leading Role - Musical Or Comedy,False,Pat and Mike
1953,Actress In A Leading Role - Musical Or Comedy,False,Monkey Business
1953,Henrietta Award (World Film Favorites),True,Susan Hayward
1953,Henrietta Award (World Film Favorites),True,John Wayne
1953,Cinematography - Color,True,The Greatest Show On Earth
1953,Cinematography - Black And White,True,High Noon
1953,Cinematography - Black And White,False,"Four Poster, The"
1953,Cinematography - Black And White,False,The Thief
1954,Best Motion Picture - Drama,True,"Robe, The"
1954,Best Performance by an Actress in a Motion Picture - Drama,True,Roman Holiday
1954,Best Performance by an Actor in a Motion Picture - Drama,True,"Actress, The"
1954,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,The Moon Is Blue
1954,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Mogambo
1954,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,From Here to Eternity
1954,Best Director - Motion Picture,True,From Here to Eternity
1954,Best Screenplay - Motion Picture,True,Lili
1954,Cecil B. deMille Award,False,Darryl F. Zanuck
1954,Promoting International Understanding,True,Little Boy Lost
1954,Special Achievement Award,False,"Living Desert, The"
1954,New Star Of The Year - Actress,True,Forever Female
1954,New Star Of The Year - Actress,True,Money From Home
1954,New Star Of The Year - Actress,True,"Egyptian, The"
1954,New Star Of The Year - Actress,True,Hell and High Water
1954,New Star Of The Year - Actress,True,It Came From Outer Space
1954,New Star Of The Year - Actress,False,Hell and High Water
1954,New Star Of The Year - Actress,False,Money From Home
1954,New Star Of The Year - Actor,True,"Glory Brigade, The"
1954,New Star Of The Year - Actor,True,"Kid From Left Field, The"
1954,New Star Of The Year - Actor,True,So Big
1954,New Star Of The Year - Actor,True,"Man From The Alamo, The"
1954,New Star Of The Year - Actor,False,"Kid From Left Field, The"
1954,Actress In A Leading Role - Musical Or Comedy,True,Call Me Madam
1954,Henrietta Award (World Film Favorites),True,Alan Ladd
1954,Henrietta Award (World Film Favorites),True,Marilyn Monroe
1954,Henrietta Award (World Film Favorites),True,Robert Taylor
1954,Documentary,True,"Queen Is Crowned, A"
1955,Best Motion Picture - Drama,True,On the Waterfront
1955,Best Motion Picture - Musical or Comedy,True,Carmen Jones
1955,Best Performance by an Actress in a Motion Picture - Drama,True,"Country Girl, The"
1955,Best Performance by an Actor in a Motion Picture - Drama,True,On the Waterfront
1955,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,"Star is Born, A (1954)"
1955,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,"High and The Mighty, The"
1955,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,"Barefoot Contessa, The"
1955,Best Director - Motion Picture,True,On the Waterfront
1955,Best Screenplay - Motion Picture,True,Sabrina
1955,Best Motion Picture - Foreign Language,True,"United Kingdom, Henry Cornelius"
1955,Best Motion Picture - Foreign Language,True,"Argentina, Ernesto Arancibia"
1955,Best Motion Picture - Foreign Language,True,"West Germany, Victor Vicas"
1955,Best Motion Picture - Foreign Language,True,"Japan, Keisuke Kinoshita"
1955,Cecil B. deMille Award,False,Jean Hersholt
1955,Promoting International Understanding,True,Broken Lance
1955,New Star Of The Year - Actress,True,"Trouble With Harry, The"
1955,New Star Of The Year - Actress,True,Phffft!
1955,New Star Of The Year - Actress,True,"High and The Mighty, The"
1955,New Star Of The Year - Actor,True,Carmen Jones
1955,New Star Of The Year - Actor,True,Four Guns to the Border
1955,New Star Of The Year - Actor,True,Seven Brides for Seven Brothers
1955,Actress In A Leading Role - Musical Or Comedy,True,"Star is Born, A (1954)"
1955,Henrietta Award (World Film Favorites),True,Audrey Hepburn
1955,Henrietta Award (World Film Favorites),True,Gregory Peck
1955,Henrietta Award (World Film Favorites),False,June Allyson
1955,Henrietta Award (World Film Favorites),False,Pier Angeli
1955,Henrietta Award (World Film Favorites),False,Marlon Brando
1955,Henrietta Award (World Film Favorites),False,Doris Day
1955,Henrietta Award (World Film Favorites),False,Alan Ladd
1955,Cinematography - Color,True,Brigadoon
1955,Cinematography - Black And White,True,On the Waterfront
1956,Best Motion Picture - Drama,True,East of Eden
1956,Best Motion Picture - Musical or Comedy,True,Guys and Dolls
1956,Best Performance by an Actress in a Motion Picture - Drama,True,"Rose Tattoo, The"
1956,Best Performance by an Actor in a Motion Picture - Drama,True,Marty
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,"Seven Year Itch, The"
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,"Rose Tattoo, The"
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Trial
1956,Best Director - Motion Picture,True,Picnic
1956,Best Motion Picture - Foreign Language,True,United Kingdom
1956,Best Motion Picture - Foreign Language,True,"Japan, Yoshirô Kawazu"
1956,Best Motion Picture - Foreign Language,True,"West Germany, Laslo Benedek"
1956,Best Motion Picture - Foreign Language,True,"Greece, Michael Cacoyannis"
1956,Best Motion Picture - Foreign Language,True,"Denmark, Carl Theodor Dreyer"
1956,Cecil B. deMille Award,False,Jack L. Warner
1956,Promoting International Understanding,True,Love Is A Many-Splendored Thing
1956,Television Achievement,True,"American Comedy, The"
1956,Television Achievement,True,Walt Disney's Wonderful World of Color (Davy Crockett)
1956,Special Achievement Award,False,East of Eden
1956,New Star Of The Year - Actress,True,Blood Alley
1956,New Star Of The Year - Actress,True,"Eddy Duchin Story, The"
1956,New Star Of The Year - Actress,True,"View From Pompey's Head, The"
1956,New Star Of The Year - Actor,True,I'll Cry Tomorrow
1956,New Star Of The Year - Actor,True,Hit The Deck
1956,Actress In A Leading Role - Musical Or Comedy,True,Guys and Dolls
1956,Henrietta Award (World Film Favorites),True,Marlon Brando
1956,Henrietta Award (World Film Favorites),True,Grace Kelly
1956,Hollywood Citizenship Award,True,Esther Williams
1957,Best Motion Picture - Drama,True,Around the World in 80 Days
1957,Best Motion Picture - Drama,False,Lust For Life
1957,Best Motion Picture - Drama,False,"Rainmaker, The"
1957,Best Motion Picture - Drama,False,War and Peace
1957,Best Motion Picture - Drama,False,Giant
1957,Best Motion Picture - Musical or Comedy,True,"King and I, The"
1957,Best Motion Picture - Musical or Comedy,False,Bus Stop
1957,Best Motion Picture - Musical or Comedy,False,"Opposite Sex, The"
1957,Best Motion Picture - Musical or Comedy,False,"Solid Gold Cadillac, The"
1957,Best Motion Picture - Musical or Comedy,False,"Teahouse of the August Moon, The"
1957,Best Performance by an Actress in a Motion Picture - Drama,False,Baby Doll
1957,Best Performance by an Actress in a Motion Picture - Drama,False,Anastasia (1956)
1957,Best Performance by an Actress in a Motion Picture - Drama,False,Anastasia (1956)
1957,Best Performance by an Actress in a Motion Picture - Drama,False,War and Peace
1957,Best Performance by an Actress in a Motion Picture - Drama,False,"Rainmaker, The"
1957,Best Performance by an Actor in a Motion Picture - Drama,True,Lust For Life
1957,Best Performance by an Actor in a Motion Picture - Drama,False,Friendly Persuasion
1957,Best Performance by an Actor in a Motion Picture - Drama,False,"Ten Commandments, The"
1957,Best Performance by an Actor in a Motion Picture - Drama,False,"Rainmaker, The"
1957,Best Performance by an Actor in a Motion Picture - Drama,False,Baby Doll
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,Around the World in 80 Days
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,"Teahouse of the August Moon, The"
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,"King and I, The"
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,"Teahouse of the August Moon, The"
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,"Court Jester, The"
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,"Bad Seed, The"
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Friendly Persuasion
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Written on the Wind
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,"Bad Seed, The"
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Baby Doll
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,"Rainmaker, The"
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,"Teahouse of the August Moon, The"
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,War and Peace
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Lust For Life
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Baby Doll
1957,Best Director - Motion Picture,True,Baby Doll
1957,Best Director - Motion Picture,False,Around the World in 80 Days
1957,Best Director - Motion Picture,False,Lust For Life
1957,Best Director - Motion Picture,False,Giant
1957,Best Director - Motion Picture,False,War and Peace
1957,Cecil B. deMille Award,False,Mervyn LeRoy
1957,Promoting International Understanding,True,Battle Hymn
1957,Promoting International Understanding,False,"Brave One, The (1956)"
1957,Promoting International Understanding,False,Friendly Persuasion
1957,Promoting International Understanding,False,"King and I, The"
1957,Promoting International Understanding,False,"Teahouse of the August Moon, The"
1957,Television Achievement,True,Cheyenne
1957,Television Achievement,True,Matinee Theatre
1957,Television Achievement,True,"Mickey Mouse Club, The"
1957,Television Achievement,True,Playhouse 90
1957,Television Achievement,True,This Is Your Life
1957,Special Achievement Award,False,Dimitri Tiomkin
1957,Special Achievement Award,False,Edwin Schallert
1957,Special Achievement Award,False,Elizabeth Taylor
1957,New Star Of The Year - Actress,True,Baby Doll
1957,New Star Of The Year - Actress,True,Giant
1957,New Star Of The Year - Actress,True,"Girl Can't Help It, The"
1957,New Star Of The Year - Actress,True,Rebel Without a Cause
1957,New Star Of The Year - Actress,False,Giant
1957,New Foreign Star Of The Year - Actress,True,Taina Elg
1957,New Foreign Star Of The Year - Actor,True,Jacques Bergerac
1957,New Star Of The Year - Actor,True,Tea and Sympathy
1957,New Star Of The Year - Actor,True,"Silver Chalice, The"
1957,New Star Of The Year - Actor,True,Friendly Persuasion
1957,Actress In A Leading Role - Musical Or Comedy,True,"King and I, The"
1957,Actress In A Leading Role - Musical Or Comedy,False,"Solid Gold Cadillac, The"
1957,Actress In A Leading Role - Musical Or Comedy,False,"Teahouse of the August Moon, The"
1957,Actress In A Leading Role - Musical Or Comedy,False,Bus Stop
1957,Actress In A Leading Role - Musical Or Comedy,False,Bundle of Joy
1957,Foreign Film - Foreign Language,True,Before Sundown
1957,Foreign Film - Foreign Language,True,A Girl In Black
1957,Foreign Film - Foreign Language,True,The Rose On His Arm
1957,Foreign Film - Foreign Language,True,War and Peace
1957,Foreign Film - Foreign Language,True,The White Reindeer
1957,Foreign Film - English Language,True,Richard III  (1955)
1957,Henrietta Award (World Film Favorites),True,James Dean
1957,Henrietta Award (World Film Favorites),True,Kim Novak
1957,Hollywood Citizenship Award,True,Ronald Reagan
1958,Best Motion Picture - Drama,True,"Bridge on the River Kwai, The"
1958,Best Motion Picture - Drama,False,12 Angry Men (1957)
1958,Best Motion Picture - Drama,False,Wild is the Wind
1958,Best Motion Picture - Drama,False,Witness for the Prosecution
1958,Best Motion Picture - Drama,False,Sayonara
1958,Best Motion Picture - Musical or Comedy,True,Les Girls
1958,Best Motion Picture - Musical or Comedy,False,Don't Go Near The Water
1958,Best Motion Picture - Musical or Comedy,False,Love in the Afternoon
1958,Best Motion Picture - Musical or Comedy,False,Pal Joey
1958,Best Motion Picture - Musical or Comedy,False,Silk Stockings
1958,Best Performance by an Actress in a Motion Picture - Drama,True,"Three Faces of Eve, The"
1958,Best Performance by an Actress in a Motion Picture - Drama,False,Witness for the Prosecution
1958,Best Performance by an Actress in a Motion Picture - Drama,False,"Heaven Knows, Mr. Allison"
1958,Best Performance by an Actress in a Motion Picture - Drama,False,Wild is the Wind
1958,Best Performance by an Actress in a Motion Picture - Drama,False,"Hatful of Rain, A"
1958,Best Performance by an Actor in a Motion Picture - Drama,True,"Bridge on the River Kwai, The"
1958,Best Performance by an Actor in a Motion Picture - Drama,False,Sayonara
1958,Best Performance by an Actor in a Motion Picture - Drama,False,12 Angry Men (1957)
1958,Best Performance by an Actor in a Motion Picture - Drama,False,"Hatful of Rain, A"
1958,Best Performance by an Actor in a Motion Picture - Drama,False,Witness for the Prosecution
1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,True,Pal Joey
1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Don't Go Near The Water
1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,My Man Godfrey
1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Will Success Spoil Rock Hunter?
1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,False,Love in the Afternoon
1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,True,Witness for the Prosecution
1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Peyton Place
1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Peyton Place
1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,"Story of Esther Costello, The"
1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,False,Sayonara
1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,True,Sayonara
1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,"Bridge on the River Kwai, The"
1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,Raintree County
1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,"Great Man, The"
1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,False,12 Angry Men (1957)
1958,Best Director - Motion Picture,True,"Bridge on the River Kwai, The"
1958,Best Director - Motion Picture,False,Sayonara
1958,Best Director - Motion Picture,False,12 Angry Men (1957)
1958,Best Director - Motion Picture,False,Witness for the Prosecution
1958,Best Director - Motion Picture,False,"Hatful of Rain, A"
1958,Cecil B. deMille Award,False,Buddy Adler
1958,Promoting International Understanding,True,"Happy Road, The"
1958,Television Achievement,True,Jack Benny
1958,Television Achievement,True,Eddie Fisher
1958,Television Achievement,True,Alfred Hitchcock
1958,Television Achievement,True,Mike Wallace
1958,Special Achievement Award,False,Hugo Friedhofer
1958,Special Achievement Award,False,Zsa Zsa Gabor
1958,Special Achievement Award,False,Bob Hope
1958,Special Achievement Award,False,Le Roy Prinze
1958,Special Achievement Award,False,Jean Simmons
1958,New Star Of The Year - Actress,True,Until They Sail
1958,New Star Of The Year - Actress,True,Carolyn Jones
1958,New Star Of The Year - Actress,True,Peyton Place
1958,New Star Of The Year - Actor,True,Sayonara
1958,New Star Of The Year - Actor,True,This Happy Feeling
1958,New Star Of The Year - Actor,True,The Searchers
1958,Actress In A Leading Role - Musical Or Comedy,True,Les Girls
1958,Actress In A Leading Role - Musical Or Comedy,True,Les Girls
1958,Actress In A Leading Role - Musical Or Comedy,False,Silk Stockings
1958,Actress In A Leading Role - Musical Or Comedy,False,Love in the Afternoon
1958,Actress In A Leading Role - Musical Or Comedy,False,This Could Be the Night
1958,Foreign Film - Foreign Language,True,Confessions Of Felix Krull
1958,Foreign Film - Foreign Language,True,Tizoc
1958,Foreign Film - Foreign Language,True,Kiiroi karasu (Yellow Crow)
1958,Foreign Film - English Language,True,Woman In A Dressing Gown
1958,Henrietta Award (World Film Favorites),True,Tony Curtis
1958,Henrietta Award (World Film Favorites),True,Doris Day
1959,Best Motion Picture - Drama,True,"Defiant Ones, The"
