title,awards_all,nomination_count,award_count,awards_won,awards_nominated
On Golden Pond,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Won)
BAFTAs - Film | Direction in 1983(Nominated)
BAFTAs - Film | Film in 1983(Nominated)
BAFTAs - Film | Screenplay in 1983(Nominated)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Won)",19,6,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Direction in 1983(Nominated)
BAFTAs - Film | Film in 1983(Nominated)
BAFTAs - Film | Screenplay in 1983(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)"
On Her Majesty's Secret Service,Golden Globes - New Star Of The Year - Actor(Nominated),1,0,,Golden Globes - New Star Of The Year - Actor(Nominated)
On Hope,Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
On My Mind,Oscars - SHORT FILM (Live Action)(Nominated),1,0,,Oscars - SHORT FILM (Live Action)(Nominated)
On The Beach,"BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1960(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)
Golden Globes - Promoting International Understanding(Nominated)",6,2,"BAFTAs - Film | United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter in 1960(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Promoting International Understanding(Nominated)"
On The Bowery,BAFTAs - Film | Documentary in 1957(Won),1,1,BAFTAs - Film | Documentary in 1957(Won),
On The Riviera,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won),1,1,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won),
On The Town,"BAFTAs - Film | Film From Any Source in 1951(Nominated)
Golden Globes - Outstanding Use Of Color(Nominated)",2,0,,"BAFTAs - Film | Film From Any Source in 1951(Nominated)
Golden Globes - Outstanding Use Of Color(Nominated)"
On The Twelfth Day,BAFTAs - Film | Special Award in 1957(Nominated),1,0,,BAFTAs - Film | Special Award in 1957(Nominated)
On Tiptoe: Gentle Steps to Freedom,Oscars - DOCUMENTARY (Short Subject)(Nominated),1,0,,Oscars - DOCUMENTARY (Short Subject)(Nominated)
On the Beach,"Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)",2,0,,"Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Music Score of a Dramatic or Comedy Picture)(Nominated)"
On the Beach (2000),"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television(Nominated)",2,0,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television(Nominated)
Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television(Nominated)"
On the Bowery,Oscars - DOCUMENTARY (Feature)(Nominated),1,0,,Oscars - DOCUMENTARY (Feature)(Nominated)
On the Riviera,"Oscars - ART DIRECTION (Color)(Nominated)
Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)",2,0,,"Oscars - ART DIRECTION (Color)(Nominated)
Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)"
On the Ropes,Oscars - DOCUMENTARY (Feature)(Nominated),1,0,,Oscars - DOCUMENTARY (Feature)(Nominated)
On the Town,Oscars - MUSIC (Scoring of a Musical Picture)(Won),1,1,Oscars - MUSIC (Scoring of a Musical Picture)(Won),
On the Twelfth Day...,Oscars - SHORT SUBJECT (Two-reel)(Nominated),1,0,,Oscars - SHORT SUBJECT (Two-reel)(Nominated)
