title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
Places in the Heart,,89.0,83.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",10,3,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",34900814.0
Windy City,,14.0,80.0,,0,0,,,
Until September,,0.0,70.0,,0,0,,,
Heartbreakers,"Carrie Fisher, Sigourney Weaver",80.0,53.0,,0,0,,,57753825.0
Irreconcilable Differences,,60.0,47.0,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",2,0,,"Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",
The Wild Life,,17.0,29.0,,0,0,,,
Teachers,,61.0,46.0,,0,0,,,27700000.0
Garbo Talks,,57.0,50.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),
Songwriter,,89.0,45.0,"Oscars - MUSIC (Original Song Score)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",2,0,,"Oscars - MUSIC (Original Song Score)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",
Crimes of Passion,,50.0,61.0,,0,0,,,
