title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
hardly working,Comedy,9%,24%,,0,0,,,"$18,000,000"
heartland,"Drama,Western",100%,86%,,0,0,,,
heavy metal,"Adventure,Animation,Fantasy",,,,0,0,,,"$19,571,091"
hell night,"Horror,Thriller",57%,44%,,0,0,,,
history of the world: part i,"Comedy,History,Musical",61%,81%,,0,0,,,"$31,672,000"
honky tonk freeway,"Action,Comedy",,54%,,0,0,,,
the howling,Horror,74%,60%,,0,0,,,"$17,985,130"
the incredible shrinking woman,"Comedy,Sci-Fi",27%,51%,,0,0,,,"$20,259,000"
virus,"Horror,Sci-Fi,Thriller",,16%,,0,0,,,"$30,626,690"
knightriders,"Action,Drama",80%,61%,,0,0,,,
lady chatterley's lover,"Drama,Romance",,,,0,0,,,
the legend of the lone ranger,"Action,Adventure,Drama",,57%,,0,0,,,
looker,"Drama,Sci-Fi,Thriller",32%,40%,,0,0,,,
modern problems,"Comedy,Fantasy,Sci-Fi",,31%,,0,0,,,"$24,474,312"
modern romance,"Comedy,Romance",83%,71%,,0,0,,,
mommie dearest,"Biography,Drama",48%,72%,,0,0,,,"$25,032,000"
moving,,67%,,,0,0,,,
my bloody valentine,"Horror,Mystery,Thriller",58%,52%,,0,0,,,"$102,836,002"
my dinner with andre,"Comedy,Drama",92%,85%,,0,0,,,
night crossing,"Drama,Family,History",80%,66%,,0,0,,,
night school,"Horror,Mystery,Thriller",,27%,,0,0,,,"$104,145,633"
the night the lights went out in georgia,"Drama,Music",,75%,,0,0,,,
on golden pond,Drama,91%,87%,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ACTRESS IN A LEADING ROLE (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium) (Won)
BAFTAs - Film | Direction in 1983 (Nominated)
BAFTAs - Film | Film in 1983 (Nominated)
BAFTAs - Film | Screenplay in 1983 (Nominated)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Won)",19,6,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ACTRESS IN A LEADING ROLE (Won)
Oscars - WRITING (Screenplay Based on Material from Another Medium) (Won)
Golden Globes - Best Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)
Golden Globes - Best Screenplay - Motion Picture (Won)","Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - DIRECTING (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND (Nominated)
BAFTAs - Film | Direction in 1983 (Nominated)
BAFTAs - Film | Film in 1983 (Nominated)
BAFTAs - Film | Screenplay in 1983 (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)","$119,285,432"
on the right track,"Comedy,Romance",,31%,,0,0,,,
outland,"Action,Crime,Sci-Fi",54%,54%,Oscars - SOUND (Nominated),1,0,,Oscars - SOUND (Nominated),"$20,000,000"
