primaryTitle,originalTitle,genres,critic_score,audience_score
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,from the mixed-up files of mrs. basil e. frankweiler,"Comedy,Drama,Family",,41%
Gordon's War,gordon's war,"Adventure,Crime",60%,47%
Guns of a Stranger,guns of a stranger,"Action,Music,Western",,
The Harder They Come,the harder they come,"Crime,Drama,Music",91%,82%
The Harrad Experiment,the harrad experiment,"Comedy,Drama,Romance",,12%
Harry in Your Pocket,harry in your pocket,"Comedy,Crime,Drama",,47%
Heavy Traffic,heavy traffic,"Animation,Comedy,Drama",89%,74%
Hell Up in Harlem,hell up in harlem,"Action,Crime,Drama",22%,50%
Hex,hex,"Drama,Horror,Western",,
The Hireling,the hireling,Drama,,56%
Hit!,hit!,"Action,Crime,Drama",,59%
Hitler: The Last Ten Days,hitler: the last ten days,"Biography,Drama,History",38%,55%
The Homecoming,the homecoming,Drama,,
I Escaped from Devil's Island,i escaped from devil's island,"Action,Adventure",,36%
The Iceman Cometh,the iceman cometh,Drama,,
Interval,interval,"Drama,Romance",,
Jeremy,jeremy,"Drama,Music,Romance",,74%
Jimi Hendrix,jimi hendrix,"Biography,Documentary,Music",,85%
Jonathan Livingston Seagull,jonathan livingston seagull,"Drama,Family",8%,61%
Kid Blue,kid blue,"Comedy,Crime,Western",50%,62%
Lady Ice,lady ice,"Crime,Drama,Thriller",,18%
The Last American Hero,the last american hero,"Drama,Sport",75%,52%
The Last Detail,the last detail,"Comedy,Drama",87%,87%
The Last of Sheila,the last of sheila,"Crime,Drama,Mystery",90%,84%
The Laughing Policeman,the laughing policeman,"Crime,Drama,Thriller",,
The Laughing Policeman,the laughing policeman,"Crime,Drama,Thriller",56%,48%
The Legend of Hell House,the legend of hell house,Horror,65%,56%
Little Cigars,little cigars,"Comedy,Crime,Drama",,67%
Little Laura and Big John,little laura and big john,"Biography,Crime,Drama",,
Live and Let Die,live and let die,"Action,Adventure,Thriller",67%,64%
The Long Goodbye,the long goodbye,"Comedy,Crime,Drama",,
The Love Ban,the love ban,Comedy,,
Luther,luther,"Biography,Drama",,
The Mack,the mack,"Crime,Drama",60%,85%
The MacKintosh Man,the mackintosh man,Thriller,58%,44%
Magnum Force,magnum force,"Action,Crime,Mystery",67%,78%
The Man Who Loved Cat Dancing,the man who loved cat dancing,"Drama,Romance,Western",,47%
The Manchu Eagle Murder Caper Mystery,the manchu eagle murder caper mystery,"Comedy,Crime,Mystery",,
Marco,marco,"Adventure,Family,Musical",,
Mean Streets,mean streets,"Crime,Drama,Thriller",94%,84%
The Mutations,the mutations,"Horror,Sci-Fi",,37%
The Naked Ape,the naked ape,"Comedy,Drama",,
The Neptune Factor,the neptune factor,"Action,Adventure,Drama",,15%
Nightmare Honeymoon,nightmare honeymoon,"Crime,Drama,Horror",,0%
O Lucky Man!,o lucky man!,"Comedy,Drama,Fantasy",81%,87%
The Offence,the offence,"Crime,Drama,Thriller",71%,72%
Oklahoma Crude,oklahoma crude,"Comedy,Drama,Western",,32%
One Little Indian,one little indian,"Comedy,Family,Western",,38%
The Paper Chase,the paper chase,"Comedy,Drama",81%,72%
Paper Moon,paper moon,"Comedy,Crime,Drama",90%,94%
Papillon,papillon,"Biography,Crime,Drama",72%,90%
Pat Garrett & Billy the Kid,pat garrett and billy the kid,"Biography,Drama,Western",57%,82%
Phase IV,phase iv,"Horror,Sci-Fi,Thriller",,10%
The Pyx,the pyx,"Crime,Drama,Mystery",,33%
Rhinoceros,rhinoceros,"Comedy,Drama,Fantasy",,51%
Sssssss,sssssss,"Horror,Sci-Fi",30%,26%
Santee,santee,"Drama,Western",,22%
The Satanic Rites of Dracula,the satanic rites of dracula,"Drama,Horror",33%,30%
Save the Tiger,save the tiger,Drama,86%,74%
Scorpio,scorpio,"Action,Drama,Thriller",59%,40%
Serpico,serpico,"Biography,Crime,Drama",93%,88%
The Seven-Ups,the seven-ups,"Action,Crime,Drama",73%,70%
Shaft in Africa,shaft in africa,"Action,Adventure,Crime",64%,52%
Shamus,shamus,"Action,Comedy,Crime",25%,40%
Slaughter Day,situation,"Crime,Drama",,
The Slams,the slams,"Action,Crime,Drama",,29%
Sleeper,sleeper,"Comedy,Sci-Fi",100%,81%
Superdad,superdad,"Comedy,Family",,36%
Soylent Green,soylent green,"Crime,Mystery,Sci-Fi",71%,70%
The Spook Who Sat by the Door,the spook who sat by the door,"Action,Crime,Drama",75%,83%
Steelyard Blues,steelyard blues,"Comedy,Crime",50%,31%
The Stone Killer,the stone killer,"Action,Crime,Drama",60%,42%
"Summer Wishes, Winter Dreams","summer wishes, winter dreams",Drama,,19%
Terror in the Wax Museum,terror in the wax museum,"Horror,Mystery",,29%
That'll Be the Day,that'll be the day,"Drama,Music",,56%
The Thief Who Came to Dinner,the thief who came to dinner,"Comedy,Romance",,56%
Tiffany Jones,tiffany jones,Comedy,,
The Train Robbers,the train robbers,"Action,Adventure,Western",33%,58%
Two People,two people,"Drama,Romance",,
The Girl in Blue,u-turn,Drama,,
Undercovers Hero,"soft beds, hard battles",Comedy,,55%
Walking Tall,walking tall,"Action,Biography,Crime",26%,59%
Wattstax,wattstax,"Comedy,Documentary,Music",90%,90%
The Way We Were,the way we were,"Drama,Romance",64%,81%
Westworld,westworld,"Action,Drama,Sci-Fi",84%,70%
"Wicked, Wicked","wicked, wicked","Horror,Mystery,Thriller",,25%
The Wicker Man,the wicker man,"Horror,Mystery,Thriller",15%,17%
The World's Greatest Athlete,the world's greatest athlete,"Comedy,Family,Romance",,34%
The Wrestler,the wrestler,"Action,Crime,Drama",98%,88%
The Wrestler,the wrestler,"Action,Crime,Drama",,20%
Zardoz,zardoz,"Adventure,Fantasy,Sci-Fi",49%,53%
11 Harrowhouse,11 harrowhouse,"Comedy,Crime,Thriller",,79%
Abby,abby,Horror,,41%
The Abdication,the abdication,"Biography,Drama,History",,
Airport 1975,airport 1975,"Action,Drama,Thriller",30%,38%
Alice Doesn't Live Here Anymore,alice doesn't live here anymore,"Drama,Romance",92%,81%
Amarcord,amarcord,"Comedy,Drama",87%,90%
Amazing Grace,amazing grace,Comedy,,
Beautiful People,animals are beautiful people,"Comedy,Documentary",,89%
The Apprenticeship of Duddy Kravitz,the apprenticeship of duddy kravitz,"Comedy,Drama",93%,73%
The Bat People,the bat people,"Horror,Romance",,6%
The Bears and I,the bears and i,"Adventure,Drama,Family",,27%
The Beast Must Die,the beast must die,"Horror,Mystery",43%,37%
Benji,benji,"Adventure,Family,Romance",86%,55%
Big Bad Mama,big bad mama,"Action,Comedy,Crime",75%,41%
Black Belt Jones,black belt jones,"Action,Crime",,69%
Black Christmas,black christmas,"Horror,Mystery,Thriller",14%,38%
The Black Godfather,the black godfather,Crime,,16%
The Black Windmill,the black windmill,"Action,Crime,Thriller",57%,36%
Blazing Saddles,blazing saddles,"Comedy,Western",89%,91%
Blazing Stewardesses,blazing stewardesses,"Comedy,Western",,11%
Bootleggers,bootleggers,"Comedy,Crime,Drama",,
Bring Me the Head of Alfredo Garcia,bring me the head of alfredo garcia,"Action,Crime,Drama",78%,85%
Buster and Billie,buster and billie,"Crime,Drama",,91%
Busting,busting,"Comedy,Crime,Drama",17%,55%
Caged Heat,caged heat,"Action,Comedy,Drama",76%,39%
California Split,california split,"Comedy,Drama",87%,83%
Captain Kronos: Vampire Hunter,captain kronos: vampire hunter,"Adventure,Horror,Mystery",,60%
Carry on Dick,carry on dick,"Adventure,Comedy",,57%
The Cars That Ate Paris,the cars that ate paris,"Comedy,Horror,Sci-Fi",65%,35%
The Castaway Cowboy,the castaway cowboy,"Comedy,Family,Western",,24%
Catch My Soul,catch my soul,"Drama,Musical",,
Open Season,open season,"Action,Drama,Thriller",49%,57%
Chinatown,chinatown,"Drama,Mystery,Thriller",98%,93%
Chosen Survivors,chosen survivors,"Action,Adventure,Drama",,29%
Confessions of a Window Cleaner,confessions of a window cleaner,Comedy,,28%
Conrack,conrack,Drama,69%,79%
The Conversation,the conversation,"Drama,Mystery,Thriller",97%,89%
Coonskin,coonskin,"Action,Animation,Comedy",,79%
Crash,crash,Drama,,
Crazy Joe,crazy joe,"Crime,Drama",,36%
The Crazy World of Julius Vrooder,the crazy world of julius vrooder,"Comedy,Drama,Romance",,
Daisy Miller,daisy miller,"Comedy,Drama,Romance",69%,32%
Messiah of Evil,messiah of evil,Horror,100%,57%
Death Wish,death wish,"Action,Crime,Drama",66%,69%
Dersu Uzala,dersu uzala,"Adventure,Biography,Drama",73%,94%
Earthquake,earthquake,"Action,Drama,Thriller",44%,36%
The Education of Sonny Carson,the education of sonny carson,Drama,,80%
Emmanuelle,emmanuelle,"Drama,Romance",38%,43%
The Family,the family,Drama,,
Foxy Brown,foxy brown,"Action,Crime,Thriller",64%,66%
Frankenstein and the Monster from Hell,frankenstein and the monster from hell,"Horror,Sci-Fi",63%,48%
Freebie and the Bean,freebie and the bean,"Action,Comedy,Crime",23%,67%
The Gambler,the gambler,"Crime,Drama",,
The Girl from Petrovka,the girl from petrovka,"Comedy,Drama,Romance",,22%
Golden Needles,golden needles,"Action,Drama",,88%
The Golden Voyage of Sinbad,the golden voyage of sinbad,"Action,Adventure,Fantasy",76%,64%
The Dion Brothers,the gravy train,"Action,Comedy,Crime",,
The Great McGonagall,the great mcgonagall,"Biography,Comedy",,40%
The Groove Tube,the groove tube,Comedy,14%,59%
Harry and Tonto,harry and tonto,"Adventure,Comedy,Drama",88%,81%
Hearts and Minds,hearts and minds,"Documentary,History,War",91%,90%
Herbie Rides Again,herbie rides again,"Comedy,Family,Fantasy",83%,53%
Homebodies,homebodies,"Comedy,Horror",,71%
The House on Skull Mountain,the house on skull mountain,"Horror,Mystery",,22%
Idaho Transfer,idaho transfer,Sci-Fi,,32%
The Internecine Project,the internecine project,"Action,Thriller",,47%
The Island at the Top of the World,the island at the top of the world,"Adventure,Family,Fantasy",50%,47%
The Klansman,the klansman,"Crime,Drama,Thriller",22%,25%
Lenny,lenny,"Biography,Drama",87%,88%
The Little Prince,the little prince,"Family,Fantasy,Musical",,88%
The Longest Yard,the longest yard,"Comedy,Crime,Drama",31%,62%
The Lords of Flatbush,the lords of flatbush,"Comedy,Drama,Romance",67%,42%
Lovin' Molly,lovin' molly,"Drama,Romance",40%,14%
Macon County Line,macon county line,"Action,Drama,Romance",56%,56%
Madhouse,madhouse,"Crime,Horror,Mystery",,24%
Ghost Story,ghost story,"Horror,Mystery",29%,45%
Mahler,mahler,"Biography,Drama,Music",75%,77%
The Maids,the maids,"Drama,Romance",,69%
Mame,mame,"Comedy,Musical",36%,48%
Man on a Swing,man on a swing,"Crime,Mystery,Thriller",,11%
The Man with the Golden Gun,the man with the golden gun,"Action,Adventure,Thriller",42%,55%
McQ,mcq,"Action,Crime,Drama",40%,56%
Memoria,memoria,"Horror,Sci-Fi",,
Mixed Company,mixed company,"Drama,Family",,60%
Monty Python and the Holy Grail,monty python and the holy grail,"Adventure,Comedy,Fantasy",96%,95%
Moonrunners,moonrunners,"Action,Comedy,Crime",,57%
Mr. Majestyk,mr. majestyk,"Action,Crime,Drama",83%,67%
Murder on the Orient Express,murder on the orient express,"Crime,Drama,Mystery",90%,78%
Newman's Law,newman's law,"Action,Crime,Thriller",,
The Nine Lives of Fritz the Cat,the nine lives of fritz the cat,"Animation,Comedy,Horror",30%,41%
Once,once,Fantasy,97%,91%
Our Time,our time,Drama,,
The Outfit,the outfit,"Crime,Drama,Thriller",80%,73%
The Outfit,the outfit,"Crime,Drama,Thriller",,
The Parallax View,the parallax view,"Drama,Mystery,Thriller",87%,78%
Phantom of the Paradise,phantom of the paradise,"Comedy,Drama,Fantasy",82%,84%
The Prisoner of Second Avenue,the prisoner of second avenue,Comedy,44%,67%
Act of Vengeance,act of vengeance,"Crime,Drama,Horror",,50%
The Return of the Pink Panther,the return of the pink panther,"Comedy,Crime,Mystery",86%,82%
The Savage Is Loose,the savage is loose,"Adventure,Drama",,40%
Seizure,seizure,Horror,,3%
Shanks,shanks,"Fantasy,Horror",,33%
The Spikes Gang,the spikes gang,"Drama,Western",,47%
Stone,stone,"Action,Adventure,Crime",50%,21%
Storyville,storyville,Drama,67%,22%
The Sugarland Express,the sugarland express,"Crime,Drama",87%,66%
The Super Cops,the super cops,"Action,Comedy,Crime",100%,65%
Symptoms,symptoms,Horror,100%,57%
The Take,the take,"Action,Crime,Drama",90%,91%
The Take,the take,"Action,Crime,Drama",,
The Taking of Pelham One Two Three,the taking of pelham one two three,"Action,Crime,Thriller",98%,88%
The Tamarind Seed,the tamarind seed,"Drama,Romance,Thriller",,75%
Terminal,terminal,Drama,,
The Terminal Man,the terminal man,"Horror,Sci-Fi,Thriller",50%,40%
That's Entertainment!,that's entertainment!,"Documentary,Family,Musical",100%,86%
Thieves Like Us,thieves like us,"Crime,Drama,Romance",84%,72%
Thomasine & Bushrod,thomasine & bushrod,"Action,Crime,Romance",,55%
Three the Hard Way,three the hard way,"Action,Thriller",33%,49%
Thunderbolt and Lightfoot,thunderbolt and lightfoot,"Action,Comedy,Crime",89%,73%
Together Brothers,together brothers,"Adventure,Crime,Drama",,64%
The Towering Inferno,the towering inferno,"Action,Drama,Thriller",68%,72%
The Trial of Billy Jack,the trial of billy jack,"Action,Drama,Music",40%,48%
Truck Turner,truck turner,"Action,Crime,Thriller",60%,73%
Tough Guys,tough guys,"Action,Crime",,
Uptown Saturday Night,uptown saturday night,"Action,Comedy,Crime",70%,79%
W,w,Thriller,,
Welcome to Arrow Beach,welcome to arrow beach,Horror,,67%
Where the Lilies Bloom,where the lilies bloom,"Drama,Family,Romance",,84%
Where the Red Fern Grows,where the red fern grows,"Drama,Family",,75%
The White Dawn,the white dawn,"Adventure,Drama,History",,83%
Willie Dynamite,willie dynamite,"Crime,Drama",,68%
Young Frankenstein,young frankenstein,Comedy,95%,92%
Zandy's Bride,zandy's bride,"Drama,Western",,58%
Zorro,zorro,"Action,Adventure,Comedy",,58%
92 in the Shade,92 in the shade,"Comedy,Drama",,53%
Aaron Loves Angela,aaron loves angela,"Comedy,Crime,Drama",,83%
Abduction,abduction,"Crime,Drama,Thriller",,44%
The Adventure of Sherlock Holmes' Smarter Brother,the adventure of sherlock holmes' smarter brother,"Comedy,Crime,Music",56%,57%
The Adventures of the Wilderness Family,the adventures of the wilderness family,"Adventure,Drama,Family",,60%
Against a Crooked Sky,against a crooked sky,"Adventure,Drama,Family",,37%
The Apple Dumpling Gang,the apple dumpling gang,"Comedy,Family,Western",56%,60%
At Long Last Love,at long last love,"Comedy,Musical,Romance",22%,40%
Barry Lyndon,barry lyndon,"Adventure,Drama,War",87%,92%
Best Friends,best friends,Drama,62%,30%
"Birds Do It, Bees Do It","birds do it, bees do it",Documentary,,
Bite the Bullet,bite the bullet,"Action,Adventure,Drama",73%,54%
The Black Bird,the black bird,"Adventure,Comedy,Crime",27%,50%
The Box,the box,Comedy,,
A Boy and His Dog,a boy and his dog,"Comedy,Drama,Sci-Fi",,
Brannigan,brannigan,"Action,Comedy,Crime",25%,40%
Breakheart Pass,breakheart pass,"Drama,Mystery,Western",68%,59%
Breaking Point,breaking point,"Adult,Thriller",,45%
Breakout,breakout,"Action,Adventure,Drama",,
Bucktown,bucktown,"Action,Crime,Drama",40%,51%
Bug,bug,"Horror,Mystery,Sci-Fi",61%,34%
The Candy Tangerine Man,the candy tangerine man,"Action,Adventure",,60%
Capone,capone,"Biography,Crime,Drama",40%,24%
Carry on Behind,carry on behind,Comedy,,51%
Cleopatra Jones and the Casino of Gold,cleopatra jones and the casino of gold,Action,,47%
Conduct Unbecoming,conduct unbecoming,"Crime,Drama,Mystery",63%,39%
Cooley High,cooley high,"Comedy,Drama,Romance",89%,89%
"Cornbread, Earl and Me","cornbread, earl and me","Drama,Sport",,86%
Cover Girl Models,cover girl models,Thriller,,20%
Crazy Mama,crazy mama,"Action,Comedy,Crime",92%,39%
The Day of the Locust,the day of the locust,"Drama,Thriller",63%,76%
Death Race 2000,death race 2000,"Action,Comedy,Sci-Fi",82%,63%
The Devil's Rain,the devil's rain,Horror,17%,34%
Diamonds,diamonds,"Crime,Drama",,
Doc Savage: The Man of Bronze,doc savage: the man of bronze,"Action,Adventure,Comedy",,57%
Dog Day Afternoon,dog day afternoon,"Biography,Crime,Drama",96%,90%
Dolemite,dolemite,"Action,Comedy,Crime",57%,66%
The Drowning Pool,the drowning pool,"Crime,Drama,Mystery",,
The Drowning Pool,the drowning pool,"Crime,Drama,Mystery",53%,47%
The Eiger Sanction,the eiger sanction,"Action,Crime,Thriller",67%,54%
Escape to Witch Mountain,escape to witch mountain,"Adventure,Family,Fantasy",73%,59%
F for Fake,f for fake,Documentary,88%,88%
The Farmer,the farmer,"Action,Crime,Drama",,
Female Trouble,female trouble,"Comedy,Crime",90%,85%
Slade in Flame,flame,"Drama,Music,Musical",,54%
The Fortune,the fortune,"Comedy,Crime,Romance",36%,34%
The Four Deuces,the four deuces,"Action,Comedy",,17%
The Four Musketeers: Milady's Revenge,the four musketeers,"Action,Adventure,Romance",77%,74%
French Connection II,french connection ii,"Action,Crime,Drama",82%,62%
Friday Foster,friday foster,Action,,41%
Funny Lady,funny lady,"Biography,Comedy,Drama",30%,55%
The Giant Spider Invasion,the giant spider invasion,"Horror,Sci-Fi",,14%
"Give 'em Hell, Harry!","give 'em hell, harry!","Biography,Comedy,Drama",100%,82%
The Great Waldo Pepper,the great waldo pepper,"Adventure,Drama",67%,57%
Grey Gardens,grey gardens,"Comedy,Documentary,Drama",94%,85%
The Happy Hooker,the happy hooker,"Biography,Comedy",,
Hearts of the West,hearts of the west,"Comedy,Western",90%,42%
Hennessy,hennessy,"Action,Drama,Thriller",,22%
Hester Street,hester street,"Drama,Romance",79%,68%
The Hiding Place,the hiding place,"Biography,Drama,History",,91%
The Hiding Place,the hiding place,"Biography,Drama,History",,87%
Hustle,hustle,"Crime,Drama,Mystery",,24%
In Celebration,in celebration,Drama,,60%
Independence Day,independence day,Drama,,
Inserts,inserts,"Comedy,Drama",69%,56%
Inside Out,inside out,"Comedy,Crime,Thriller",,37%
It Seemed Like a Good Idea at the Time,it seemed like a good idea at the time,Comedy,,0%
Once Is Not Enough,once is not enough,"Drama,Romance",,11%
Jaws,jaws,"Adventure,Drama,Horror",97%,90%
Killer Force,killer force,"Action,Crime,Thriller",,9%
The Land That Time Forgot,the land that time forgot,"Adventure,Fantasy,Sci-Fi",,8%
Legacy,legacy,"Action,Crime,Drama",,
Lepke,lepke,"Biography,Drama",,43%
Lisztomania,lisztomania,"Biography,Comedy,Music",46%,60%
Love and Death,love and death,"Comedy,War",100%,90%
Made,made,Drama,71%,66%
Mahogany,mahogany,"Drama,Romance",29%,75%
The Man Who Would Be King,the man who would be king,"Adventure,Drama,War",97%,90%
The Man from Hong Kong,the man from hong kong,"Action,Adventure,Crime",100%,63%
The Man in the Glass Booth,the man in the glass booth,"Drama,War",80%,73%
Mandingo,mandingo,"Drama,History,Romance",29%,64%
The Master Gunfighter,the master gunfighter,"Drama,Western",,50%
Mitchell,mitchell,"Action,Crime,Drama",,29%
Mr. Ricco,mr. ricco,"Crime,Drama,Thriller",,33%
Nashville,nashville,"Comedy,Drama,Music",89%,84%
The Nickel Ride,the nickel ride,"Crime,Drama",,59%
Night Moves,night moves,"Crime,Drama,Mystery",84%,71%
One Flew Over the Cuckoo's Nest,one flew over the cuckoo's nest,Drama,93%,96%
The Other Side of the Mountain,the other side of the mountain,"Biography,Drama,Romance",,
The Other Side of the Mountain,the other side of the mountain,"Biography,Drama,Romance",,79%
Out of Season,out of season,"Drama,Romance",,8%
Overlord,overlord,"Drama,History,War",89%,73%
Peeper,peeper,"Comedy,Crime,Mystery",22%,47%
The Executioner,permission to kill,"Drama,Thriller",,
Picnic at Hanging Rock,picnic at hanging rock,"Drama,Mystery",92%,83%
Psychic Killer,psychic killer,"Horror,Thriller",,29%
Race with the Devil,race with the devil,"Action,Drama,Horror",71%,56%
Rafferty and the Gold Dust Twins,rafferty and the gold dust twins,"Comedy,Drama",71%,44%
Rancho Deluxe,rancho deluxe,"Comedy,Romance,Western",73%,40%
Report to the Commissioner,report to the commissioner,"Action,Crime,Drama",43%,60%
Return to Macon County,return to macon county,Drama,,57%
Revolver,revolver,"Crime,Drama,Thriller",,
The Rocky Horror Picture Show,the rocky horror picture show,"Comedy,Horror,Musical",80%,85%
Rollerball,rollerball,"Action,Sci-Fi,Sport",67%,62%
The Romantic Englishwoman,the romantic englishwoman,"Comedy,Drama,Romance",80%,38%
Rooster Cogburn,rooster cogburn,"Adventure,Drama,Western",45%,70%
Rosebud,rosebud,"Action,Adventure,Drama",44%,20%
Royal Flash,royal flash,"Adventure,Comedy,History",50%,64%
Shampoo,shampoo,"Comedy,Drama",68%,56%
"'Sheba, Baby'","sheba, baby","Action,Crime,Drama",29%,30%
Sheila Levine Is Dead and Living in New York,sheila levine is dead and living in new york,Comedy,43%,57%
Smile,smile,Comedy,,
The Specialist,the specialist,Thriller,,20%
The Stepford Wives,the stepford wives,"Horror,Mystery,Sci-Fi",26%,30%
The Strongest Man in the World,the strongest man in the world,"Comedy,Family,Sci-Fi",,38%
Sunday Too Far Away,sunday too far away,Drama,,79%
The Sunshine Boys,the sunshine boys,Comedy,71%,72%
Take a Hard Ride,take a hard ride,"Adventure,Drama,Western",,27%
That Lucky Touch,that lucky touch,Comedy,,
Three Days of the Condor,three days of the condor,"Crime,Mystery,Thriller",87%,82%
Tommy,tommy,"Drama,Musical",,
The Ultimate Warrior,the ultimate warrior,"Action,Sci-Fi",33%,34%
W.W. and the Dixie Dancekings,w.w. and the dixie dancekings,Comedy,,28%
Whiffs,whiffs,"Comedy,Crime",,
White Line Fever,white line fever,"Action,Crime,Drama",29%,55%
The Wilby Conspiracy,the wilby conspiracy,"Action,Adventure,Drama",67%,45%
The Wind and the Lion,the wind and the lion,"Action,Adventure,Drama",63%,69%
The Yakuza,the yakuza,"Action,Crime,Drama",60%,72%
All the President's Men,all the president's men,"Drama,History,Thriller",94%,92%
American Reunion,american reunion,Documentary,80%,
Assault on Precinct 13,assault on precinct 13,"Action,Crime,Thriller",60%,48%
At the Earth's Core,at the earth's core,"Adventure,Fantasy,Sci-Fi",33%,33%
Baby Blue Marine,baby blue marine,Drama,,
The Big Bus,the big bus,"Action,Comedy",64%,56%
Black Shampoo,black shampoo,"Action,Comedy,Crime",,48%
Bobbie Jo and the Outlaw,bobbie jo and the outlaw,"Crime,Drama,Romance",,41%
Bound for Glory,bound for glory,"Biography,Drama,Music",81%,76%
Bugsy Malone,bugsy malone,"Comedy,Crime,Family",79%,80%
Burnt Offerings,burnt offerings,"Horror,Mystery,Thriller",50%,43%
Caddie,caddie,"Biography,Drama,Romance",,44%
Car Wash,car wash,"Comedy,Drama,Romance",86%,60%
Carry on England,carry on england,"Comedy,War",,27%
The Cassandra Crossing,the cassandra crossing,"Drama,Thriller",36%,52%
Challenge to Be Free,challenge to be free,"Adventure,Family",,72%
Clockwork Bananas,q,Comedy,73%,43%
Creature from Black Lake,creature from black lake,"Drama,Horror,Mystery",,33%
Tomcats,tomcats,"Crime,Drama,Thriller",14%,42%
Deadly Hero,deadly hero,"Crime,Drama,Thriller",,75%
Domino,domino,,18%,56%
Drive-In,drive-in,Comedy,,60%
Drum,drum,"Action,Drama",11%,53%
The Duchess and the Dirtwater Fox,the duchess and the dirtwater fox,"Comedy,Western",50%,55%
Echoes of a Summer,echoes of a summer,Drama,,57%
Embryo,embryo,"Horror,Sci-Fi",,16%
Eraserhead,eraserhead,"Fantasy,Horror",89%,82%
Family Plot,family plot,"Comedy,Crime,Drama",93%,62%
The First Nudie Musical,the first nudie musical,"Comedy,Musical",86%,51%
The Food of the Gods,the food of the gods,"Adventure,Horror,Sci-Fi",18%,26%
From Noon Till Three,from noon till three,"Drama,Romance,Western",43%,60%
The Front,the front,Drama,,
The Front,the front,Drama,69%,74%
Futureworld,futureworld,"Sci-Fi,Thriller",36%,30%
Gable and Lombard,gable and lombard,"Biography,Drama,Romance",0%,46%
Gator,gator,"Action,Crime,Drama",25%,43%
"Botas Duras, Medias De Seda",the great scout & cathouse thursday,"Comedy,Western",,45%
The Gumball Rally,the gumball rally,Comedy,29%,65%
Gus,gus,"Comedy,Family,Sport",,57%
Harry and Walter Go to New York,harry and walter go to new york,"Comedy,Crime",50%,32%
Hawmps!,hawmps!,"Comedy,Family,Western",,85%
Hot Potato,hot potato,"Action,Comedy,Drama",,5%
Cross of Iron,cross of iron,"Drama,War",71%,87%
J.D.'s Revenge,j.d.'s revenge,"Action,Horror,Thriller",50%,61%
Jack,jack,Drama,,
Jackson County Jail,jackson county jail,"Action,Crime,Drama",,36%
"Jim, the World's Greatest","jim, the world's greatest",Drama,,
Joshua,joshua,"Drama,Western",62%,41%
The Killer Inside Me,the killer inside me,"Crime,Drama",56%,40%
The Killer Inside Me,the killer inside me,"Crime,Drama",40%,25%
The Killing of a Chinese Bookie,the killing of a chinese bookie,"Crime,Drama,Thriller",79%,83%
Las Vegas Lady,las vegas lady,"Crime,Drama",,0%
The Last Hard Men,the last hard men,"Drama,Western",,53%
The Last Tycoon,the last tycoon,"Drama,Romance",,61%
The Last Tycoon,the last tycoon,"Drama,Romance",33%,40%
Leadbelly,leadbelly,"Biography,Drama,Music",,
The Life and Times of Grizzly Adams,the life and times of grizzly adams,"Adventure,Family,Western",,80%
Lifeguard,lifeguard,"Drama,Romance",47%,72%
Lipstick,lipstick,"Crime,Drama,Thriller",18%,35%
The Little Girl Who Lives Down the Lane,the little girl who lives down the lane,"Drama,Horror,Mystery",93%,75%
Logan's Run,logan's run,"Action,Adventure,Sci-Fi",58%,67%
Mad Dog Morgan,mad dog morgan,"Action,Crime,Drama",,40%
Man Friday,man friday,"Adventure,Comedy,Drama",33%,65%
The Man Who Fell to Earth,the man who fell to earth,"Drama,Sci-Fi",,67%
The Man Who Fell to Earth,the man who fell to earth,"Drama,Sci-Fi",79%,69%
Marathon Man,marathon man,"Crime,Drama,Thriller",81%,81%
A Matter of Time,a matter of time,"Drama,Fantasy,Romance",,
Midway,midway,"Action,Drama,History",41%,71%
Mikey and Nicky,mikey and nicky,"Crime,Drama",88%,78%
The Missouri Breaks,the missouri breaks,"Drama,Western",79%,60%
"Mother, Jugs & Speed","mother, jugs & speed","Comedy,Drama",53%,53%
Moving Violation,moving violation,"Comedy,Crime,Drama",,
Murder by Death,murder by death,"Comedy,Crime,Mystery",68%,82%
Mustang Country,mustang country,"Drama,Family,Western",,
Network,network,Drama,91%,93%
The Next Man,the next man,Thriller,11%,21%
"Next Stop, Greenwich Village","next stop, greenwich village","Comedy,Drama",86%,64%
Norman... Is That You?,norman... is that you?,Comedy,40%,70%
Ode to Billy Joe,ode to billy joe,Drama,44%,79%
The Omen,the omen,"Horror,Mystery",26%,40%
On the Line,on the line,Documentary,,
Dragonfly,dragonfly,Drama,7%,62%
One of Our Dinosaurs Is Missing,one of our dinosaurs is missing,"Adventure,Comedy,Family",,68%
The Outlaw Josey Wales,the outlaw josey wales,"Drama,Western",91%,91%
The Pink Panther Strikes Again,the pink panther strikes again,"Comedy,Crime",72%,84%
The Premonition,the premonition,"Horror,Thriller",,25%
Queen Kong,queen kong,"Adventure,Comedy,Fantasy",,19%
The Return of a Man Called Horse,the return of a man called horse,"Drama,Western",55%,42%
Ride a Wild Pony,ride a wild pony,"Adventure,Family",,60%
The Ritz,the ritz,"Comedy,Crime",67%,79%
The River Niger,the river niger,Drama,,44%
Robin and Marian,robin and marian,"Adventure,Drama,Romance",73%,53%
The Sailor Who Fell from Grace with the Sea,the sailor who fell from grace with the sea,"Drama,Romance,Thriller",75%,50%
Scorchy,scorchy,"Action,Crime,Drama",,38%
The Seven-Per-Cent Solution,the seven-per-cent solution,"Adventure,Comedy,Crime",72%,68%
