primaryTitle,originalTitle,genres,critic_score,audience_score
Hush,hush,"Drama,Romance",,
Idle Hands,idle hands,Drama,16%,58%
The Killer,the killer,Western,,
Leap Year,leap year,Comedy,,50%
Little Italy,little italy,"Comedy,Romance",,
Made in Heaven,made in heaven,"Comedy,Romance",,
Nobody's Fool,nobody's fool,Comedy,,
The Oath,the oath,Drama,75%,61%
Salvage,salvage,Drama,86%,20%
Shame,shame,Drama,65%,88%
Stranger Than Fiction,stranger than fiction,"Action,Drama",73%,85%
Barb Wire,barb wire,Western,28%,14%
Confidence,confidence,Comedy,69%,70%
Glass Houses,glass houses,"Comedy,Romance",,
Grandma's Boy,grandma's boy,"Comedy,Family",15%,85%
Gun Shy,gun shy,"Comedy,Western",26%,36%
Handle with Care,handle with care,Comedy,,
Head Over Heels,head over heels,Comedy,90%,92%
Head Over Heels,head over heels,Comedy,,
The Infidel,the infidel,Drama,59%,45%
Kissed,kissed,"Comedy,Romance",68%,67%
Kisses,kisses,"Comedy,Romance",,86%
Making the Grade,making the grade,,,54%
Nobody,nobody,"Drama,Mystery",,
Phantom,phantom,"Drama,Romance",,
Rob Roy,rob roy,Adventure,,
The Seventh Day,the seventh day,"Drama,Romance",,
Skin Deep,skin deep,"Crime,Drama",,
Sky High,sky high,"Action,Drama,Romance",,56%
Sonny,sonny,Drama,21%,41%
Speed,speed,"Action,Drama",,62%
Call of the Wild,call of the wild,Adventure,,100%
The Fog,the fog,Drama,,
The Fog,the fog,Drama,4%,19%
Fury,fury,"Adventure,Drama",,
Gossip,gossip,Drama,28%,47%
Lights Out,lights out,"Crime,Drama",,
The Love Letter,the love letter,"Crime,Drama",33%,38%
Luck,luck,"Action,Comedy,Sport",43%,38%
New Year's Eve,sylvester,Drama,,90%
The Ten Commandments,the ten commandments,"Biography,Drama,History",,
The Tie That Binds,the tie that binds,Drama,8%,32%
White Tiger,white tiger,Drama,,58%
White Tiger,white tiger,Drama,,
The Wild Party,the wild party,"Comedy,Drama",,
Against All Odds,against all odds,Western,64%,46%
The Age of Innocence,the age of innocence,Drama,,33%
The Age of Innocence,the age of innocence,Drama,88%,75%
The Bedroom Window,the bedroom window,Mystery,72%,50%
Butterfly,butterfly,"Drama,Romance",,
Hit and Run,hit and run,"Sport,Western",,16%
Manhattan,manhattan,"Adventure,Comedy,Romance",94%,92%
Michael,michael,"Drama,Romance",,
Peter Pan,peter pan,"Adventure,Family,Fantasy",,50%
Sundown,sundown,Western,,9%
Teeth,teeth,Western,80%,45%
Accused,accused,Drama,100%,
Bad Company,bad company,"Drama,Romance",,
Before Midnight,before midnight,Drama,,
Blue Blood,blue blood,Drama,,
Boy,boy,Drama,88%,86%
Braveheart,braveheart,Western,,
The Circle,the circle,"Comedy,Drama",,
Cobra,cobra,"Drama,Romance",18%,43%
Cymbeline,cymbeline,,,
The Freshman,the freshman,"Comedy,Family,Romance",95%,78%
The Freshman,the freshman,"Comedy,Family,Romance",94%,61%
The Live Wire,the live wire,"Comedy,Romance",,
Marry Me,marry me,Comedy,,
My Son,my son,"Drama,Romance",,80%
The Phantom of the Opera,the phantom of the opera,"Horror,Music",33%,84%
The Promised Land,the promised land,,,92%
Quick Change,quick change,Drama,84%,71%
Siege,siege,"Drama,Romance",,
The Verdict,the verdict,Mystery,,
The Verdict,the verdict,Mystery,88%,88%
Welcome Home,welcome home,"Comedy,Drama",,
White Fang,white fang,"Adventure,Family,Western",,14%
The Boy Friend,the boy friend,"Comedy,Romance",,
The Boy Friend,the boy friend,"Comedy,Romance",88%,68%
The Great Gatsby,the great gatsby,Drama,52%,
Metropolis,metropolis,"Drama,Sci-Fi",,78%
Moana,moana,Documentary,87%,65%
Money Talks,money talks,Comedy,15%,71%
Monte Carlo,monte carlo,"Comedy,Romance",40%,50%
North Star,north star,Drama,,24%
The Outsider,the outsider,Drama,,
Paradise,paradise,"Drama,Romance",,
Paris,paris,"Drama,Romance",92%,
The Rainmaker,the rainmaker,Drama,,
The Sea Beast,the sea beast,"Action,Adventure,Fantasy",94%,84%
The Set-Up,the set-up,"Action,Adventure,Romance",85%,89%
Shipwrecked,shipwrecked,"Adventure,Drama,Romance",,68%
Silence,silence,"Crime,Drama,Romance",,
Under Fire,under fire,Western,91%,70%
Volcano,volcano,"Drama,Romance",86%,75%
The American,the american,Western,64%,39%
Backstage,backstage,Comedy,,
Becky,becky,"Comedy,Romance",,
Birds of Prey,birds of prey,"Crime,Drama,Romance",,
Cabaret,cabaret,"Crime,Drama",92%,87%
The Cat and the Canary,the cat and the canary,"Comedy,Horror,Mystery",,72%
The Cherokee Kid,the cherokee kid,"Drama,Western",,60%
Chicago,chicago,"Comedy,Crime,Drama",86%,83%
Convoy,convoy,"Drama,War",,0%
Death Valley,death valley,"Drama,Western",75%,4%
The Dove,the dove,"Adventure,Drama,Romance",67%,
The Dove,the dove,"Adventure,Drama,Romance",,80%
Downhill,downhill,"Adventure,Drama,Thriller",89%,62%
The General,the general,"Action,Adventure,Comedy",,
It,it,"Comedy,Romance",,
The Jazz Singer,the jazz singer,"Drama,Music,Musical",78%,56%
The Jazz Singer,the jazz singer,"Drama,Music,Musical",,0%
The Last Outlaw,the last outlaw,Western,,
The Last Outlaw,the last outlaw,Western,,
The Main Event,the main event,"Drama,Romance",29%,25%
The Nest,the nest,Drama,,
New York,new york,Drama,,100%
Open Range,open range,Western,79%,84%
Ragtime,ragtime,Drama,84%,76%
The Ring,the ring,"Drama,Romance,Sport",71%,48%
Shooting Stars,shooting stars,"Drama,Romance",,
Special Delivery,special delivery,Comedy,,23%
Spring Fever,spring fever,Comedy,,
Surrender,surrender,"Action,Drama,Romance",,
Turkish Delight,turkish delight,Comedy,86%,80%
Underworld,underworld,"Crime,Drama,Film-Noir",31%,79%
The Wizard,the wizard,"Horror,Mystery,Sci-Fi",,
The Wizard,the wizard,"Horror,Mystery,Sci-Fi",27%,59%
Adoration,adoration,Drama,63%,49%
Annapolis,annapolis,"Comedy,Drama",10%,60%
The Ape,the ape,"Horror,Mystery",100%,56%
Avalanche,avalanche,"Action,Drama,Romance",,
Brotherly Love,brotherly love,Comedy,,
Celebrity,celebrity,"Drama,Romance,Sport",,
Conquest,conquest,Drama,,
The Devil's Playground,the devil's playground,"Adventure,Drama",100%,66%
The Devil's Playground,the devil's playground,"Adventure,Drama",,
Doomsday,doomsday,"Drama,Romance",50%,44%
Dressed to Kill,dressed to kill,"Comedy,Crime",83%,74%
Excess Baggage,excess baggage,Comedy,32%,40%
Finders Keepers,finders keepers,Comedy,,
Honeymoon,honeymoon,Comedy,,8%
Into the Night,into the night,"Crime,Drama",40%,49%
Just Married,just married,Comedy,20%,47%
The Man Without a Face,the man without a face,"Action,Adventure",67%,64%
Moulin Rouge,moulin rouge,Drama,,60%
Night Watch,night watch,Drama,44%,67%
Ransom,ransom,"Action,Adventure,Crime",,
The Ringer,the ringer,"Crime,Drama",,
Road House,road house,"Crime,Drama",59%,53%
The Showdown,the showdown,Drama,,
Skyscraper,skyscraper,Drama,,17%
Stand and Deliver,stand and deliver,"Drama,Romance",90%,79%
Submarine,submarine,"Action,Adventure,Drama",88%,82%
Times Square,times square,"Drama,Music,Romance",50%,73%
Two Lovers,two lovers,"Action,Drama,History",82%,59%
Waterloo,waterloo,"Drama,History,War",30%,83%
Arsenal,arsenal,"Drama,War",83%,73%
The Aviator,the aviator,"Comedy,Romance",87%,79%
Betrayal,betrayal,Drama,,
Brothers,brothers,Drama,,
Crossroads,crossroads,,,
A Dangerous Woman,a dangerous woman,"Drama,Romance",,
Dark Skies,dark skies,"Crime,Romance",,
Flight,flight,"Action,Adventure,Romance",,
Frozen River,frozen river,"Action,Adventure,Drama",88%,74%
Hot Stuff,hot stuff,Comedy,,74%
The Informer,the informer,Drama,,
Masquerade,masquerade,,13%,29%
New Year's Eve,new year's eve,Drama,,
Nothing But the Truth,nothing but the truth,"Action,Comedy,Romance",,50%
Prisoners,prisoners,"Crime,Drama,Romance",,
The River,the river,"Drama,Romance",,
A Single Man,a single man,Comedy,,
Wall Street,wall street,Drama,79%,81%
